report_id,source,report_type,timestamp,site,location,department,activity,asset,description,unsafe_act,unsafe_condition,near_miss,hi_po,hazards,exposure,potential_consequences,barriers,barrier_status,life_saving_rules,actual_outcome,potential_accident_level,sif_potential,annotation_confidence,annotation_version,source_gender,source_actor_type,normalized_description,duplicate_group_id,duplicate_group_size,is_duplicate,potential_level_numeric
industrial_safety_000321,industrial_safety_analytics_database,incident,2017-01-25T00:00:00,Country_01,Local_03,Mining,,,"During the process of loading drills in the Carmen pit of level 3450, the operator positions the basket of the anfo loader 186 equipment at a height of 3m from the floor to carry out the loading of the production drills; At this moment, a stone slab of 1.4x0.7x0.2 m is detached from the front of the pit, which is tilted and lodged inside the basket, trapping the right leg of the collaborator.",,,,,['remains of choco'],[],[],[],[],[],V,VI,,,,Male,Third Party,during the process of loading drills in the carmen pit of level 3450 the operator positions the basket of the anfo loader 186 equipment at a height of 3m from the floor to carry out the loading of the production drills at this moment a stone slab of 14x07x02 m is detached from the front of the pit which is tilted and lodged inside the basket trapping the right leg of the collaborator,DUP_0150,1,False,6
industrial_safety_000393,industrial_safety_analytics_database,incident,2017-04-25T00:00:00,Country_02,Local_07,Mining,,,"ACTIVITY: front sanitation (slaughter of choco with scaller) LOCAL: underground mine, level 350 - front 45 Upper JKA The operator performed front sanitation when a rock block from the roof hit the equipment. The accident victim was promptly rescued by the unit's emergency brigade and transported to the outpatient clinic where he received the first care, and was then transferred to the Municipal of Paracatu.",,,,,['remains of choco'],[],[],[],[],[],IV,V,,,,Male,Employee,activity front sanitation slaughter of choco with scaller local underground mine level 350  front 45 upper jka the operator performed front sanitation when a rock block from the roof hit the equipment the accident victim was promptly rescued by the units emergency brigade and transported to the outpatient clinic where he received the first care and was then transferred to the municipal of paracatu,DUP_0001,1,False,5
industrial_safety_000033,industrial_safety_analytics_database,incident,2016-02-20T00:00:00,Country_01,Local_04,Mining,,,"Approximately 1:40 p.m. in circumstances that shotcrete was launched in the Nv. 1680 BP 255 of the OB2B, after finishing the launch of the first mixkret 113, the assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon asks him to come down. When the team started, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.",,,,,['Others'],[],[],[],[],[],V,V,,,,Male,Third Party,approximately 140 pm in circumstances that shotcrete was launched in the nv 1680 bp 255 of the ob2b after finishing the launch of the first mixkret 113 the assistant of the alpha mr albertico asks the operator of the mixkret 113 mr jhony to move the mixkret 116 so that access finding in the cockpit of the mixkret the operator of the launcher team mr danon asks him to come down when the team started he noticed that mr danon injured was imprisoned between the team height of the left rear rim and the hastial de la labor,DUP_0016,1,False,5
industrial_safety_000297,industrial_safety_analytics_database,incident,2016-12-30T00:00:00,Country_01,Local_04,Mining,,,"At 13:40 hours, Mr. Hidalgo, wanting to climb on the starter board to remove the fans, stands on an unstable reel and, when driving, fell frontally at a height of 2.98m.",,,,,['Others'],[],[],[],[],[],IV,V,,,,Male,Third Party,at 1340 hours mr hidalgo wanting to climb on the starter board to remove the fans stands on an unstable reel and when driving fell frontally at a height of 298m,DUP_0025,1,False,5
industrial_safety_000166,industrial_safety_analytics_database,incident,2016-06-17T00:00:00,Country_02,Local_08,Metals,,,"At approximately 5:45 pm, the operator Paulo (operator of the filters) informed the autoclave operator via radio of a leak on the side of the scruber. The autoclave III feed was stopped by the control and officials Georli and Renato initiated the procedures for closing the autoclave transfer valve for flash TQs. Soon after, there was a break in the chicken, projecting pulp hot and reaching three employees who were inside the room near the equipment.",,,,,['Not applicable'],[],[],[],[],[],IV,V,,,,Male,Employee,at approximately 545 pm the operator paulo operator of the filters informed the autoclave operator via radio of a leak on the side of the scruber the autoclave iii feed was stopped by the control and officials georli and renato initiated the procedures for closing the autoclave transfer valve for flash tqs soon after there was a break in the chicken projecting pulp hot and reaching three employees who were inside the room near the equipment,DUP_0037,1,False,5
industrial_safety_000364,industrial_safety_analytics_database,incident,2017-03-09T00:00:00,Country_01,Local_03,Mining,,,"At Level 3970 (Before -100) When the F6M 801 license plate went from level 3570 to surface, when the pilot trying to locate his radio to answer a call from the concrete plant is distracted and crashes his vehicle against the left gable and the vehicle turns to the right side. When this happens, the copilot hits his right hand against a fragment of broken glass in the window on the right side of the vehicle.",,,,,['Vehicles and Mobile Equipment'],[],[],[],[],[],I,V,,,,Male,Third Party,at level 3970 before 100 when the f6m 801 license plate went from level 3570 to surface when the pilot trying to locate his radio to answer a call from the concrete plant is distracted and crashes his vehicle against the left gable and the vehicle turns to the right side when this happens the copilot hits his right hand against a fragment of broken glass in the window on the right side of the vehicle,DUP_0051,1,False,5
industrial_safety_000180,industrial_safety_analytics_database,incident,2016-07-07T00:00:00,Country_01,Local_03,Mining,,,"At moments when the MAPERU truck of plate F1T 878, returned from the city of Pasco to the Unit transporting a consultant, being 350 meters from the main gate his lane is invaded by a civilian vehicle, making the driver turn sharply to the side right where was staff of the company IMPROMEC doing hot melt work in an 8 ""pipe impacting two collaborators causing the injuries described At the time of the accident the truck was traveling at 37km / h - according to INTHINC -, the width of the road is of 6 meters, the activity had safety cones as a warning on both sides of the road and employees used their respective EPP'S.",,,,,['Others'],[],[],[],[],[],IV,V,,,,Male,Third Party,at moments when the maperu truck of plate f1t 878 returned from the city of pasco to the unit transporting a consultant being 350 meters from the main gate his lane is invaded by a civilian vehicle making the driver turn sharply to the side right where was staff of the company impromec doing hot melt work in an 8 pipe impacting two collaborators causing the injuries described at the time of the accident the truck was traveling at 37km  h  according to inthinc  the width of the road is of 6 meters the activity had safety cones as a warning on both sides of the road and employees used their respective epps,DUP_0054,2,True,5
industrial_safety_000147,industrial_safety_analytics_database,incident,2016-06-04T00:00:00,Country_01,Local_04,Mining,,,"Being 01:50 p.m. approximately, in the Nv. 1800, in the Tecnomin winery. Mr. Chagua - Bodeguero was alone, cutting wires No. 16 with a grinder, previously he had removed the protection guard from the disk of 4 inches in diameter and adapted a disk of a crosscutter of approximately 8 inches. Originating traumatic amputation of two fingers of the left hand",,,,,['Others'],[],[],[],[],[],V,V,,,,Male,Third Party,being 0150 pm approximately in the nv 1800 in the tecnomin winery mr chagua  bodeguero was alone cutting wires no 16 with a grinder previously he had removed the protection guard from the disk of 4 inches in diameter and adapted a disk of a crosscutter of approximately 8 inches originating traumatic amputation of two fingers of the left hand,DUP_0076,1,False,5
industrial_safety_000372,industrial_safety_analytics_database,incident,2017-03-22T00:00:00,Country_01,Local_06,Metals,,,"Being approximately 20:57 hours of 03/22/2017; during the change of cables between the Z-332 power cell (locked cabinet) and the Z014 transformer; there is a loud noise followed by an oscillation of the electrical system. At that moment the collaborator Queneche of the company EISSA is found on the floor with his head inside an adjoining cell Z-132 (cabinet Not blocked - where he was not assigned to do any work), after having received an electric shock .",,,,,['Power lock'],[],[],[],[],[],V,V,,,,Male,Third Party (Remote),being approximately 2057 hours of 03222017 during the change of cables between the z332 power cell locked cabinet and the z014 transformer there is a loud noise followed by an oscillation of the electrical system at that moment the collaborator queneche of the company eissa is found on the floor with his head inside an adjoining cell z132 cabinet not blocked  where he was not assigned to do any work after having received an electric shock,DUP_0095,1,False,5
industrial_safety_000371,industrial_safety_analytics_database,incident,2017-03-18T00:00:00,Country_01,Local_03,Mining,,,"During the activity of changing conveyor belt 11B feeding the primary mill No. 2; the mechanic entered the discharge chute (0.75 x 0.75 x 0.80 m.) to clean the material, at which time the automatic sampler (0.30 x 0.25 m) that was inside the chute was activated, trapping the mechanic at the height of the chest. At the time of the accident the mechanic was alone in the work area.",,,,,['Power lock'],[],[],[],[],[],V,V,,,,Male,Third Party (Remote),during the activity of changing conveyor belt 11b feeding the primary mill no 2 the mechanic entered the discharge chute 075 x 075 x 080 m to clean the material at which time the automatic sampler 030 x 025 m that was inside the chute was activated trapping the mechanic at the height of the chest at the time of the accident the mechanic was alone in the work area,DUP_0117,1,False,5
