report_id,hazards_human,hazards_extracted,hazards_evidence,hazards_human_present,hazards_extracted_present,hazards_evidence_present,hazards_token_overlap,hazards_token_recall,hazards_jaccard,hazards_audit_hint,exposures_human,exposures_extracted,exposures_evidence,exposures_human_present,exposures_extracted_present,exposures_evidence_present,exposures_token_overlap,exposures_token_recall,exposures_jaccard,exposures_audit_hint,consequences_human,consequences_extracted,consequences_evidence,consequences_human_present,consequences_extracted_present,consequences_evidence_present,consequences_token_overlap,consequences_token_recall,consequences_jaccard,consequences_audit_hint,barriers_human,barriers_extracted,barriers_evidence,barriers_human_present,barriers_extracted_present,barriers_evidence_present,barriers_token_overlap,barriers_token_recall,barriers_jaccard,barriers_audit_hint
industrial_safety_000013,"Electrical energy / arc flash while operating an energized 440 V, 400 A electrical installation.",Electrical energy,"440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel",True,True,True,2,0.2857142857142857,0.2857142857142857,PARTIAL_COVERAGE,,Direct worker exposure,reaches the operator,False,True,True,0,,,POSSIBLE_FALSE_POSITIVE,"Fatality or life-altering injury, including severe thermal burns, electric shock/electrocution, cardiac arrest, or secondary injuries.",Electrical injury,flash which reaches the operator,True,True,True,0,0.0,0.0,LOW_SEMANTIC_OVERLAP,"Failed/inadequate electrical isolation and energization controls. The lock was removed and the panel was opened before energization, exposing the operator to hazardous electrical energy. Controls such as verified de-energization, lockout/tagout, absence-of-voltage testing, appropriate panel protection, and arc-flash PPE appear to have been ineffective or not followed.",,,True,False,False,0,0.0,0.0,MISSED_CATEGORY
industrial_safety_000025,Sharp blade / localized mechanical energy.,Mechanical / moving equipment energy,"blade was detached, the blade was released",True,True,True,2,0.4,0.2857142857142857,PARTIAL_COVERAGE,Right hand directly exposed to the blade while manually removing the zinc sheet.,Body part contact,grazing the collaborator's right hand,True,True,True,0,0.0,0.0,LOW_SEMANTIC_OVERLAP,Minor cuts/lacerations to the hand or fingers.,Cut / laceration; Struck-by injury,grazing the collaborator's right hand || small cuts,True,True,True,0,0.0,0.0,LOW_SEMANTIC_OVERLAP,"Leather gloves were being used, providing some hand protection, although the blade still contacted the hand.",,,True,False,False,0,0.0,0.0,MISSED_CATEGORY
industrial_safety_000033,Mobile equipment movement / crushing and struck-by energy.,,,True,False,False,0,0.0,0.0,MISSED_CATEGORY,Worker was directly within the pinch/crush zone between the moving Mixkret and the excavation wall.,Caught-between / pinch exposure,imprisoned between,True,True,True,1,0.1,0.08333333333333333,PARTIAL_COVERAGE,"Crushing, multiple fractures, internal injuries, amputation, or fatality.",Crushing / amputation; Serious / potentially serious injury,imprisoned between || imprisoned,True,True,True,2,0.2857142857142857,0.2222222222222222,PARTIAL_COVERAGE,Inadequate exclusion-zone and communication controls around mobile equipment movement allowed a person to remain in the line of fire/crush zone.,,,True,False,False,0,0.0,0.0,MISSED_CATEGORY
industrial_safety_000034,Mechanical contact / minor impact energy from the pipe flange.,,,True,False,False,0,0.0,0.0,MISSED_CATEGORY,The employee's right thumb was exposed to the flange during the pipe-clearing activity.,,,True,False,False,0,0.0,0.0,MISSED_CATEGORY,"Minor injury, such as bruising or a minor contusion. A SIF-level consequence is not reasonably evident from the narrative.",Minor injury / irritation,little trauma,True,True,True,1,0.1111111111111111,0.1,PARTIAL_COVERAGE,Hand positioning and task technique controls could be improved to prevent contact with the flange during manual pipe clearing.,,,True,False,False,0,0.0,0.0,MISSED_CATEGORY
industrial_safety_000072,Sharp cutter blade / manual-tool mechanical energy.,Mechanical / moving equipment energy,cutter blade,True,True,True,2,0.3333333333333333,0.25,PARTIAL_COVERAGE,Worker's forearm was directly exposed to the blade when the tightening key slipped.,,,True,False,False,0,0.0,0.0,MISSED_CATEGORY,"Localized laceration, blunt cut, or moderate forearm injury.",Cut / laceration; Struck-by injury,hit him || blunt cut,True,True,True,2,0.3333333333333333,0.2857142857142857,PARTIAL_COVERAGE,"Manual tool slipped during blade adjustment, indicating inadequate control of the tool/blade during the task.",,,True,False,False,0,0.0,0.0,MISSED_CATEGORY
industrial_safety_000074,Sharp-edge / puncture hazard from the protruding end of the electrowelded mesh.,,,True,False,False,0,0.0,0.0,MISSED_CATEGORY,The worker's right hand was directly exposed to the protruding mesh end while handling and pressing the mesh.,Direct worker exposure,causing an injury,True,True,True,0,0.0,0.0,LOW_SEMANTIC_OVERLAP,"Minor to moderate hand injury, such as puncture wounds, lacerations, or localized tissue damage. A SIF-level consequence is not reasonably evident from the narrative.",,,True,False,False,0,0.0,0.0,MISSED_CATEGORY,"Material-handling and hand-protection controls were inadequate or could be improved. Protruding mesh ends should be controlled/trimmed or otherwise protected, and task-appropriate cut/puncture-resistant gloves should be used.",,,True,False,False,0,0.0,0.0,MISSED_CATEGORY
industrial_safety_000075,Chemical energy / corrosive acid solution capable of causing tissue and eye damage.,,,True,False,False,0,0.0,0.0,MISSED_CATEGORY,The employee's right hemiface was directly exposed to the chemical splash while investigating the leak.,,,True,False,False,0,0.0,0.0,MISSED_CATEGORY,"Fatality or life-altering injury, including severe facial chemical burns, permanent eye damage/blindness, respiratory injury, or systemic effects depending on the substance.",Struck-by injury,was hit,True,True,True,0,0.0,0.0,LOW_SEMANTIC_OVERLAP,"Leak detection, containment, chemical isolation, and PPE controls were inadequate or ineffective. The employee was exposed to the leak while investigating it. Appropriate isolation/containment, remote leak assessment where feasible, exclusion from the splash zone, and chemical-resistant face/eye protection should prevent direct exposure.",,,True,False,False,0,0.0,0.0,MISSED_CATEGORY
industrial_safety_000076,Same-level slip/trip/loss of balance; low gravitational energy.,,,True,False,False,0,0.0,0.0,MISSED_CATEGORY,Employee was exposed while walking/working on the platform.,,,True,False,False,0,0.0,0.0,MISSED_CATEGORY,"Sprain, strain, or other minor-to-moderate musculoskeletal injury.",,,True,False,False,0,0.0,0.0,MISSED_CATEGORY,"Platform access/working surface allowed a loss of balance, but there is no evidence of a failed critical barrier associated with SIF exposure.",,,True,False,False,0,0.0,0.0,MISSED_CATEGORY
industrial_safety_000077,Chemical energy / corrosive acid solution associated with the process equipment.,,,True,False,False,0,0.0,0.0,MISSED_CATEGORY,The employee's legs were directly exposed to the spilled acid solution while transiting near the tank.,,,True,False,False,0,0.0,0.0,MISSED_CATEGORY,"Fatality or life-altering injury could result from a larger or more concentrated acid release, including severe chemical burns, permanent eye damage, respiratory injury, or systemic effects.",Burn / thermal injury,burns,True,True,True,0,0.0,0.0,LOW_SEMANTIC_OVERLAP,"Containment, leak/spill prevention, and pedestrian segregation controls were inadequate or ineffective. The employee's normal travel route placed him within the potential release zone of the process equipment.",,,True,False,False,0,0.0,0.0,MISSED_CATEGORY
industrial_safety_000082,Trip/slip hazard and low-level mechanical energy from loose rock on the walking surface.,,,True,False,False,0,0.0,0.0,MISSED_CATEGORY,The operator was walking while carrying the hose and stepped onto the loose rock.,Direct worker exposure,causing the injury,True,True,True,0,0.0,0.0,LOW_SEMANTIC_OVERLAP,"Minor to moderate injury, such as a sprain, strain, or fracture. A SIF-level consequence is not reasonably evident from the narrative.",,,True,False,False,0,0.0,0.0,MISSED_CATEGORY,Housekeeping and walking-route controls were inadequate or could be improved. Loose rocks should be removed and walking paths maintained clear of trip hazards.,,,True,False,False,0,0.0,0.0,MISSED_CATEGORY
