report_id,source,report_type,timestamp,site,location,department,activity,asset,description,unsafe_act,unsafe_condition,near_miss,hi_po,hazards,exposure,potential_consequences,barriers,barrier_status,life_saving_rules,actual_outcome,potential_accident_level,sif_potential,annotation_confidence,annotation_version,source_gender,source_actor_type,normalized_description,duplicate_group_id,duplicate_group_size,is_duplicate,potential_level_numeric,potential_numeric,actual_numeric,description_length,risk,selection_band,annotation_status,sif_reason,evidence_text,hazard_notes,consequence_notes,barrier_notes,annotator_confidence,annotator_id,annotated_at_utc,exposure_notes,text_length,length_distance,annotation_round,final_sif_potential,label_source,is_uncertain,usable_for_binary_sif_model,batch_id,active_learning_rank,selection_reason,tfidf_probability,transformer_probability,hybrid_probability,model_disagreement,boundary_uncertainty,ranking_score
industrial_safety_000033,industrial_safety_analytics_database,incident,2016-02-20T00:00:00,Country_01,Local_04,Mining,,,"Approximately 1:40 p.m. in circumstances that shotcrete was launched in the Nv. 1680 BP 255 of the OB2B, after finishing the launch of the first mixkret 113, the assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon asks him to come down. When the team started, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.",,,,,['Others'],[],[],[],[],[],V,V,YES,,v0.1,Male,Third Party,,DUP_0016,,,,,,,,,completed,"The worker was trapped between mobile equipment and the excavation wall, creating a high-energy crushing/pinch-point exposure. This mechanism can readily result in severe injury or fatality.","When the Mixkret equipment was moved, the injured worker was found imprisoned between the equipment (left rear wheel area) and the excavation wall (hastial).",Mobile equipment movement / crushing and struck-by energy.,"Crushing, multiple fractures, internal injuries, amputation, or fatality.",Inadequate exclusion-zone and communication controls around mobile equipment movement allowed a person to remain in the line of fire/crush zone.,HIGH,annotator_01,2026-09-03T10:45:36.522279+00:00,Worker was directly within the pinch/crush zone between the moving Mixkret and the excavation wall.,,,active_learning_01,YES,,,,active_learning_batch_01,64.0,High combined uncertainty,0.5316933427691746,0.6664290552178737,0.5990611989935242,0.134735712448699,0.8018776020129517,0.5333811076635723
industrial_safety_000076,industrial_safety_analytics_database,incident,2016-03-18T00:00:00,Country_02,Local_05,Metals,,,"The employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot.",,,,,['Fall prevention (same level)'],[],[],[],[],[],I,IV,NO,,v0.1,Male,Employee,the employee was clearing the liquid zinc pump from oven 04 when he stepped on the platform and became unbalanced with a twist in his left foot,DUP_0315,1.0,False,4.0,,,,['Fall prevention (same level)'],,completed,"The incident involved a same-level loss of balance and twisting of the foot, with no indication of significant fall height, high-energy release, or credible fatal-injury mechanism.","While clearing the liquid zinc pump, the employee stepped onto the platform, became unbalanced, and twisted his left foot.",Same-level slip/trip/loss of balance; low gravitational energy.,"Sprain, strain, or other minor-to-moderate musculoskeletal injury.","Platform access/working surface allowed a loss of balance, but there is no evidence of a failed critical barrier associated with SIF exposure.",HIGH,annotator_01,2026-09-03T08:42:09.925355+00:00,Employee was exposed while walking/working on the platform.,145.0,,v0.2_calibration,NO,pilot,False,True,,,,,,,,,
industrial_safety_000082,industrial_safety_analytics_database,incident,2016-03-30T00:00:00,Country_01,Local_03,Mining,,,"After having carried out the mechanized support with the Scissor # 200, the heavy equipment operator picks up the water supply hose towards the drum of the equipment and, while He was heading towards the cabin of the Scissor on the way on a piece of rock - 10 cm high approx. - which displaces by sliding his right foot causing the injury described.",,,,,['Others'],[],[],[],[],[],I,III,NO,,v0.1,Male,Employee,after having carried out the mechanized support with the scissor  200 the heavy equipment operator picks up the water supply hose towards the drum of the equipment and while he was heading towards the cabin of the scissor on the way on a piece of rock  10 cm high approx  which displaces by sliding his right foot causing the injury described,DUP_0006,1.0,False,3.0,,,,['Others'],,completed,The event was a same-level slip/trip caused by stepping on a small rock while carrying a water hose. The narrative does not indicate exposure to high-energy hazards or a credible mechanism for a fatal or life-altering injury.,"After mechanized support work, the operator was carrying the water supply hose toward the Scissor equipment cabin when he stepped on an approximately 10 cm-high rock, which displaced/slid and caused his right foot to move, resulting in the reported injury.",Trip/slip hazard and low-level mechanical energy from loose rock on the walking surface.,"Minor to moderate injury, such as a sprain, strain, or fracture. A SIF-level consequence is not reasonably evident from the narrative.",Housekeeping and walking-route controls were inadequate or could be improved. Loose rocks should be removed and walking paths maintained clear of trip hazards.,HIGH,annotator_01,2026-09-02T06:07:25.123701+00:00,The operator was walking while carrying the hose and stepped onto the loose rock.,349.0,1.0,pilot_02,NO,pilot,False,True,,,,,,,,,
industrial_safety_000108,industrial_safety_analytics_database,incident,2016-04-21T00:00:00,Country_02,Local_02,Mining,,,"When performing cleaning with LHD in block F 9970 at level 420, the operator was surprised by a rock block displacement of the side of the gallery, reaching his right leg causing him superficial injury",,,,,['Others'],[],[],[],[],[],I,V,YES,,v0.1,Male,Employee,when performing cleaning with lhd in block f 9970 at level 420 the operator was surprised by a rock block displacement of the side of the gallery reaching his right leg causing him superficial injury,DUP_0387,1.0,False,5.0,,,,['Others'],,completed,The operator was exposed to ground/rock-fall hazards while operating an LHD in an underground gallery. A displaced rock block struck the worker's leg; a larger rock fall or impact to the head/torso could have resulted in a serious or fatal injury.,"A rock block displaced from the side of the gallery and struck the operator's right leg, causing a superficial injury.",Uncontrolled ground/rock movement and gravity energy.,"Serious struck-by injury, crushing, fractures, head injury, or fatality.",Ground support/ground-control measures were insufficient to prevent rock displacement into the operator's work area.,HIGH,annotator_01,2026-09-03T08:36:57.790160+00:00,Operator was exposed to unstable rock/ground while performing LHD cleaning in the gallery.,201.0,,v0.2_calibration,YES,pilot,False,True,,,,,,,,,
industrial_safety_000119,industrial_safety_analytics_database,incident,2016-05-02T00:00:00,Country_02,Local_05,Metals,,,The employee reports that climbing the access ladder to the operating room of the Ustulation was surprised by the projection of sulfuric acid.,,,,,['Chemical substances'],[],[],[],[],[],I,IV,YES,,v0.1,Female,Third Party (Remote),the employee reports that climbing the access ladder to the operating room of the ustulation was surprised by the projection of sulfuric acid,DUP_0305,1.0,False,4.0,,,,['Chemical substances'],,completed,"The employee was exposed to sulfuric acid projection while climbing an access ladder. Sulfuric acid is highly corrosive and can cause severe chemical burns, permanent eye damage, or potentially fatal injury with significant exposure.","While climbing the access ladder to the operating room, the employee was unexpectedly hit by a projection of sulfuric acid.",Chemical energy / corrosive sulfuric acid under process conditions capable of causing severe tissue damage.,"Fatality or life-altering injury, including severe chemical burns, permanent blindness, respiratory injury, or systemic effects from significant exposure.","Chemical containment, process isolation, splash protection, and access-route controls were inadequate or ineffective. The employee could be exposed to acid while using the access ladder. Effective containment, shielding, leak control, safe access routing, and appropriate chemical-resistant PPE should prevent direct exposure.",HIGH,annotator_01,2026-09-02T06:11:49.795641+00:00,The employee was directly exposed to projected sulfuric acid while accessing the operating area.,142.0,,pilot_02,YES,pilot,False,True,,,,,,,,,
industrial_safety_000187,industrial_safety_analytics_database,incident,2016-07-15T00:00:00,Country_02,Local_05,Metals,,,"when handling a sample in the laboratory, the sleeve of the employee's coat had contact with nitric acid, absorbing a small amount that came to reach the left forearm, causing a 1st degree burn.",,,,,['Chemical substances'],[],[],[],[],[],I,II,UNCERTAIN,,v0.1,Female,Employee,when handling a sample in the laboratory the sleeve of the employees coat had contact with nitric acid absorbing a small amount that came to reach the left forearm causing a 1st degree burn,DUP_0376,1.0,False,2.0,,,,['Chemical substances'],,completed,"Nitric acid is a strong oxidizing acid capable of causing severe chemical burns, deep tissue damage, and — with sufficient concentration, volume, or duration of contact (e.g., larger splash, contact with eyes, inhalation of fumes, or delayed detection due to it soaking through clothing) — permanent injury or life-threatening harm. The fact that the coat sleeve absorbed the acid and delayed skin contact suggests the employee may not have noticed immediately, which increases the exposure duration risk in a worse-case version of this same event.Nitric acid is a strong oxidizing acid capable of causing severe chemical burns, deep tissue damage, and — with sufficient concentration, volume, or duration of contact (e.g., larger splash, contact with eyes, inhalation of fumes, or delayed detection due to it soaking through clothing) — permanent injury or life-threatening harm. The fact that the coat sleeve absorbed the acid and delayed skin contact suggests the employee may not have noticed immediately, which increases the exposure duration risk in a worse-case version of this same event.","the sleeve of the employee's coat had contact with nitric acid, absorbing a small amount that came to reach the left forearm, causing a 1st degree burn","Chemical energy — corrosive/oxidizing hazardous substance (nitric acid), a Class A hazard capable of severe tissue damage","Under marginally different conditions (higher concentration, larger volume, longer contact time before wash-off, contact with face/eyes, or delayed recognition since the acid soaked through fabric before reaching skin) this could result in severe chemical burns, permanent scarring, or greater bodily harm — meeting SIF severity criteria","Weak/failed barrier — the coat (likely standard lab coat, not chemical-resistant) did not prevent acid penetration to skin. No indication of an apron, acid-resistant sleeve guards, or immediate emergency shower/eyewash use is mentioned. This represents a failed or absent engineering/PPE control for the energy level involved",LOW,annotator_01,2026-09-03T08:34:09.438936+00:00,"Direct skin contact via clothing absorption; sleeve of PPE (coat) absorbed acid, which then reached the left forearm — indicates a control (PPE) was present but was breached or insufficient (permeable/absorbent fabric, no chemical-resistant sleeve or apron)",194.0,,v0.2_calibration,NO,adjudicated,False,True,,,,,,,,,
industrial_safety_000197,industrial_safety_analytics_database,incident,2016-08-01T00:00:00,Country_02,Local_05,Metals,,,The employee of partner company GR reports that she was cutting watermelon when she injured her 2nd chirodactilo of the left hand with the knife.,,,,,['Manual Tools'],[],[],[],[],[],II,III,NO,,v0.1,Female,Third Party,,DUP_0299,,,,,,,,,completed,"This event involves a knife cut to a finger while cutting watermelon — a routine food-preparation task using a common manual hand tool. This is a low-energy mechanical hazard: the force involved is limited to normal manual cutting motion, not a powered tool, dynamic/moving machinery, or elevated hazard energy. Even under a worse-case variation of this same task (deeper cut, tendon/nerve involvement), the realistic ceiling of consequence remains a hand injury requiring medical attention, not a life-threatening or permanently disabling outcome.","""she was cutting watermelon when she injured her 2nd [digit] of the left hand with the knife""","manual cutting tool (knife), low kinetic energy, contact-type hazard","Under a worse-case variation (deeper laceration, damage to tendon/nerve/blood vessel), this could result in a more serious hand injury requiring surgical repair; however, life-threatening or permanently disabling outcomes are not a realistic pathway from this specific low-energy manual task","Weak/absent — no indication of a cut-resistant glove being worn, and no mention of a proper cutting technique/board stabilization method being used; standard practice for manual knife tasks (cut-resistant gloves, stable cutting surface, ""claw grip"" technique) does not appear to have been referenced or followed",HIGH,annotator_01,2026-09-03T10:49:58.095001+00:00,Direct hand contact with a knife blade during a routine manual food-cutting task; the injured hand was positioned near/holding the item being cut,,,active_learning_01,NO,,,,active_learning_batch_01,10.0,TF-IDF YES / Transformer NO disagreement,0.5005704979503199,0.3322233462896287,0.4163969221199743,0.1683471516606912,0.8327938442399486,0.6695235645228172
industrial_safety_000198,industrial_safety_analytics_database,incident,2016-08-02T00:00:00,Country_03,Local_10,Others,,,"The mincing team was carrying out activities in the city of Juína and was coordinated by mining technician Felipe a time when the mining technician was last in line and more away from the team, was bitten by a blackjack on the left side of his face. There was no allergic manifestation and the team continued the work. In the afternoon, after lunch, the employee sought medical care, was medicated and released to continue activities the next day.",,,,,['Bees'],[],[],[],[],[],I,I,NO,,v0.1,Male,Third Party,the mincing team was carrying out activities in the city of juína and was coordinated by mining technician felipe a time when the mining technician was last in line and more away from the team was bitten by a blackjack on the left side of his face there was no allergic manifestation and the team continued the work in the afternoon after lunch the employee sought medical care was medicated and released to continue activities the next day,DUP_0340,1.0,False,1.0,,,,['Bees'],,completed,"The reported event was a single insect bite/sting to the face, with no allergic reaction or serious consequence. Although insect stings can rarely cause severe reactions, the narrative provides no evidence of significant exposure or a credible high-consequence mechanism in this case.","The reported event was a single insect bite/sting to the face, with no allergic reaction or serious consequence. Although insect stings can rarely cause severe reactions, the narrative provides no evidence of significant exposure or a credible high-consequence mechanism in this case.",Biological/environmental hazard from an insect/bee-type organism.,"Minor injury, such as localized pain, swelling, or irritation. A severe allergic reaction is theoretically possible, but it is not supported by the reported event.","Environmental hazard identification and insect-control/awareness measures could be improved. However, the narrative does not indicate a significant barrier failure.",HIGH,annotator_01,2026-09-02T09:38:10.161671+00:00,The technician was directly exposed to the insect while working outdoors and was bitten on the face.,447.0,,v0.2_calibration,NO,pilot,False,True,,,,,,,,,
industrial_safety_000210,industrial_safety_analytics_database,incident,2016-08-24T00:00:00,Country_02,Local_05,Metals,,,"The servant would remove the dishes from the bowl of the sink and when picking up a set of plates, there was one of them with the broken / broken edge, causing injury to his 3rd chiropactyl from his right hand.",,,,,['Cut'],[],[],[],[],[],I,II,NO,,v0.1,Male,Employee,,DUP_0350,,,,,,,,,completed,"This event involves a broken/chipped plate edge causing a cut to a finger while washing dishes. This is a low-energy mechanical hazard — similar in profile to the glassware-cut case previously reviewed (industrial_safety_000145). The hazard is a static sharp edge encountered during a routine manual task, not a dynamic/high-energy mechanism (no moving machinery, no falling object, no significant force involved beyond normal hand movement). Even under a worse-case variation of this same scenario (deeper cut, tendon or nerve involvement), the realistic ceiling of consequence remains a serious but non-life-threatening hand injury, not a SIF-level outcome.","""when picking up a set of plates, there was one of them with the broken/broken edge, causing injury to his 3rd [digit] from his right hand""","Mechanical — sharp/broken ceramic edge (low kinetic energy, contact-type hazard)","Under a worse-case variation (deeper laceration, damage to tendon/nerve/blood vessel in the finger), this could result in a more serious hand injury requiring surgical repair; however, life-threatening or permanently disabling outcomes are not a realistic pathway from this specific low-energy mechanism","Weak/absent — no indication of an inspection process to identify and remove damaged/chipped dishware before handling, and no cut-resistant gloves mentioned for dishwashing tasks",MEDIUM,annotator_01,2026-09-03T10:40:12.925939+00:00,Direct hand contact with a damaged plate while handling a stack of dishware during routine cleaning/kitchen duties; the sharp edge was not visually obvious within the stacked set,,,active_learning_01,NO,,,,active_learning_batch_01,4.0,TF-IDF YES / Transformer NO disagreement,0.5042532503781372,0.3144920026622052,0.4093726265201712,0.1897612477159319,0.8187452530403424,0.718283328936602
industrial_safety_000219,industrial_safety_analytics_database,incident,2016-09-04T00:00:00,Country_01,Local_03,Mining,,,"On the surface, in the dining room of employees of the unit, while the collaborator performed the chicken habilitation for lunch using a kitchen knife, it comes into contact with the distal part of the second finger of the left hand causing the injury described . During the accident the employee did not use his specific height gloves for this type of work.",,,,,['Others'],[],[],[],[],[],I,III,NO,,v0.1,Male,Third Party,,DUP_0275,,,,,,,,,completed,This was a low-energy kitchen-knife contact causing an injury to the distal part of one finger. The described mechanism is localized and does not present a credible SIF-level pathway.,"While preparing chicken with a kitchen knife, the blade contacted the distal part of the second finger of the left hand, causing the reported injury.",Sharp knife / low-energy cutting hazard.,Localized cut/laceration or finger injury.,Specific protective gloves for the task were not being used.,HIGH,annotator_01,2026-09-03T10:49:00.233235+00:00,Direct finger exposure to the kitchen knife during food preparation.,,,active_learning_01,NO,,,,active_learning_batch_01,8.0,TF-IDF YES / Transformer NO disagreement,0.5323718015979153,0.3946657857886008,0.463518793693258,0.1377060158093145,0.927037587386516,0.683193845331989
