report_id,category,description,human_note,extracted,extracted_evidence,audit_hint
industrial_safety_000034,hazards,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,Mechanical contact / minor impact energy from the pipe flange.,,,MISSED_CATEGORY
industrial_safety_000074,hazards,"During the placement of the last support mesh cloth of the work, in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket, when pressing on the mesh, one of the protruding ends of the mesh, crosses the leather glove causing an injury in his right hand.",Sharp-edge / puncture hazard from the protruding end of the electrowelded mesh.,,,MISSED_CATEGORY
industrial_safety_000082,hazards,"After having carried out the mechanized support with the Scissor # 200, the heavy equipment operator picks up the water supply hose towards the drum of the equipment and, while He was heading towards the cabin of the Scissor on the way on a piece of rock - 10 cm high approx. - which displaces by sliding his right foot causing the injury described.",Trip/slip hazard and low-level mechanical energy from loose rock on the walking surface.,,,MISSED_CATEGORY
industrial_safety_000115,hazards,"The employee performed the return of the load at the entrance of the debarking machine, while trying to align a cathode was pressed in his right hand.",Mechanical crushing/pinch-point energy from the debarking machine and load.,,,MISSED_CATEGORY
industrial_safety_000135,hazards,"In circumstances that the collaborator Juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head.",Same-level fall / low gravitational energy.,,,MISSED_CATEGORY
industrial_safety_000145,hazards,"During the process of washing the material (Becker), the tip of the material was broken which caused a cut of the 5th finger of the right hand","harp/broken glass edge (low kinetic energy, contact-type hazard)",,,MISSED_CATEGORY
industrial_safety_000210,hazards,"The servant would remove the dishes from the bowl of the sink and when picking up a set of plates, there was one of them with the broken / broken edge, causing injury to his 3rd chiropactyl from his right hand.","Mechanical — sharp/broken ceramic edge (low kinetic energy, contact-type hazard)",,,MISSED_CATEGORY
industrial_safety_000222,hazards,the check list of the area of ​​the survey the operator slipped in the foliage of the leucenas and fell.,Same-level slip/fall hazard caused by vegetation/ground conditions.,,,MISSED_CATEGORY
industrial_safety_000232,hazards,"The employee was performing maintenance of the blower, when the residual water projection occurred on his face. In an attempt to remove PPE, the injured person has had contact with contaminated gloves with the right eye causing irritation.","Residual process energy/material and contaminated substances, including residual water and contaminants associated with the blower.",,,MISSED_CATEGORY
industrial_safety_000239,hazards,"Being 05:30 am. Approximately Marco and Isidro TORRES they were performing the pipe standardization of the CX 771 / CX-983 Nv. 1940; in moments that Marco lifts the air pipe over the spike, this seat and the pipe impacts on the worker's safety guard.",Mechanical/kinetic — struck-by hazard from a heavy air pipe shifting/settling unexpectedly during manual handling/positioning,,,MISSED_CATEGORY
