report_id,sif_precursor_band,sif_precursor_score,primary_trigger,reason_codes,gate_codes,barriers_present,barriers_failed,lsr_candidates,lsr_scores
industrial_safety_000013,HIGH,0.65,Potential severe electrical injury,high-energy mechanism; specific exposure pathway; credible severe potential pathway,potential severity gate passed,,,Isolation,Isolation:0.350
industrial_safety_000025,HIGH,0.62,Potential severe entanglement / machine injury,high-energy mechanism; specific exposure pathway; credible severe potential pathway; protective control explicitly present,potential severity gate passed,PPE,,Line of Fire; Isolation; Safe Mechanical Lifting,Line of Fire:1.000; Isolation:0.350; Safe Mechanical Lifting:0.350
industrial_safety_000033,HIGH,1.0,Potential severe caught-between injury,high-energy mechanism; specific exposure pathway; severe actual consequence; credible severe potential pathway,potential severity gate passed,,,Work at Height,Work at Height:0.780
industrial_safety_000034,LOW,0.0,Struck-by / impact injury,observed outcome is low severity without credible escalation gate,,,,,
industrial_safety_000072,LOW,0.26,Cut / laceration,high-energy mechanism; generic exposure signal; potential severity signal not sufficiently grounded; observed outcome is low severity without credible escalation gate,potential severity gate failed,,,Isolation,Isolation:0.350
industrial_safety_000074,LOW,0.03,No strong SIF precursor signal,generic exposure signal; protective control explicitly present,,PPE,,,
industrial_safety_000075,LOW,0.06,Struck-by / impact injury,generic exposure signal; potential severity signal not sufficiently grounded; observed outcome is low severity without credible escalation gate,potential severity gate failed,,,,
industrial_safety_000076,LOW,0.2,Musculoskeletal injury,high-energy mechanism; observed outcome is low severity without credible escalation gate,,,,Work at Height,Work at Height:0.350
industrial_safety_000077,LOW,0.06,Minor irritation / swelling,generic exposure signal; observed outcome is low severity without credible escalation gate,,,,,
industrial_safety_000082,LOW,0.0,No strong SIF precursor signal,protective control explicitly present,,Guard / physical protection,,,
industrial_safety_000095,MEDIUM,0.5,Fall-from-height energy,high-energy mechanism; specific exposure pathway; potential severity signal not sufficiently grounded; explicit barrier failure/absence,potential severity gate failed,,Structural / ground control,Work at Height; Line of Fire,Work at Height:0.980; Line of Fire:0.430
industrial_safety_000100,LOW,0.33,Fall-from-height energy,high-energy mechanism; generic exposure signal; potential severity signal not sufficiently grounded; explicit barrier failure/absence; protective control explicitly present,potential severity gate failed,Guard / physical protection; PPE,Fall protection / safe access,Work at Height,Work at Height:0.980
industrial_safety_000103,MEDIUM,0.4,Vehicle / mobile equipment energy,high-energy mechanism; specific exposure pathway,,,,Work at Height; Seat Belt; Driving,Work at Height:0.980; Seat Belt:0.350; Driving:0.350
industrial_safety_000108,LOW,0.3,Minor irritation / swelling,high-energy mechanism; potential severity signal not sufficiently grounded; explicit barrier failure/absence; observed outcome is low severity without credible escalation gate,potential severity gate failed,,Structural / ground control,Safe Mechanical Lifting,Safe Mechanical Lifting:0.350
industrial_safety_000112,LOW,0.26,Cut / laceration,high-energy mechanism; generic exposure signal; observed outcome is low severity without credible escalation gate,,,,Safe Mechanical Lifting,Safe Mechanical Lifting:0.350
industrial_safety_000115,LOW,0.0,No strong SIF precursor signal,potential severity signal not sufficiently grounded,potential severity gate failed,,,,
industrial_safety_000119,MEDIUM,0.4,Chemical energy / hazardous substance,high-energy mechanism; specific exposure pathway; potential severity signal not sufficiently grounded,potential severity gate failed,,,Work at Height; Line of Fire,Work at Height:0.980; Line of Fire:0.430
industrial_safety_000135,LOW,0.06,Fall injury,generic exposure signal,,,,Work at Height,Work at Height:0.350
industrial_safety_000136,MEDIUM,0.37,Mechanical / moving equipment energy,high-energy mechanism; specific exposure pathway; protective control explicitly present,,PPE,,Driving; Isolation; Seat Belt,Driving:0.630; Isolation:0.350; Seat Belt:0.350
industrial_safety_000140,MEDIUM,0.4,Burn / thermal injury,high-energy mechanism; specific exposure pathway,,,,Isolation,Isolation:0.350
industrial_safety_000145,LOW,0.0,Cut / laceration,observed outcome is low severity without credible escalation gate,,,,,
industrial_safety_000166,LOW,0.0,No strong SIF precursor signal,,,,,,
industrial_safety_000169,HIGH,0.75,Crushing / amputation,high-energy mechanism; specific exposure pathway; severe actual consequence; potential severity signal not sufficiently grounded,potential severity gate failed,,,Isolation; Work at Height,Isolation:1.000; Work at Height:0.350
