report_id,hazards,hazard_evidence,exposures,exposure_evidence,consequences,consequence_evidence,barriers,barrier_evidence,activities,activity_evidence,hazard_count,exposure_count,consequence_count,barrier_count,activity_count,has_fatality_evidence,has_caught_between_evidence,has_direct_exposure_evidence,has_severe_consequence_signal,has_high_energy_signal,has_barrier_failure_signal,sif_precursor_signal_score
industrial_safety_000013,Electrical energy; Manual handling / ergonomic energy,energize; electric; 440V; 400A; thermomagnetic; phase to ground; lifting,Direct worker exposure; Electrical exposure,operator causing the injury; phase to ground - phase contact with the panel,,,,,Assembly / installation; Lifting / handling,installation; lifting,7,2,0,0,2,False,False,True,False,True,False,0.55
industrial_safety_000025,Mechanical / moving equipment energy; Sharp-object energy,blade,Line-of-fire exposure; Direct worker exposure,"released; collaborator's right hand, producing 2 small cut",Cut / laceration; Struck-by injury; Minor injury / irritation,small cuts; grazing,PPE [present],gloves,,,2,2,3,1,0,False,False,True,False,False,False,0.25
industrial_safety_000033,Fall-from-height energy; Caught-between / pinch energy,height; imprisoned,Caught-between / pinch exposure,imprisoned,Crushing / amputation,imprisoned,,,,,2,1,1,0,0,False,True,True,True,True,False,1.0
industrial_safety_000034,,,,,Minor injury / irritation,little trauma,,,,,0,0,1,0,0,False,False,False,False,False,False,0.0
industrial_safety_000072,Mechanical / moving equipment energy; Sharp-object energy,cutter; blade,Line-of-fire exposure; Direct worker exposure,"hit; employee, when performing the adjustment / tightening operation of the cut",Cut / laceration; Struck-by injury,blunt cut; hit,,,Adjustment / tightening; Drilling / cutting,adjustment; tightening; cutter,3,2,2,0,3,False,False,True,False,False,False,0.25
industrial_safety_000074,,,Direct worker exposure,collaborator reached,,,PPE [present],glove,,,0,1,0,1,0,False,False,True,False,False,False,0.25
industrial_safety_000075,Chemical energy / hazardous substance,acid,Direct worker exposure; Line-of-fire exposure,employee checked for acid leakage in the shipping area when he was hit; hit,Struck-by injury,hit,,,,,1,2,1,0,0,False,False,True,False,False,False,0.25
industrial_safety_000076,Fall-from-height energy,platform,,,,,,,,,1,0,0,0,0,False,False,False,False,True,False,0.3
industrial_safety_000077,Chemical energy / hazardous substance; Manual handling / ergonomic energy,acid; reaching,Chemical exposure; Direct worker exposure,acid solution spilled; legs causing minor burn,Minor injury / irritation,minor,,,,,2,2,1,0,0,False,False,True,False,False,False,0.25
industrial_safety_000082,,,Vehicle exposure; Direct worker exposure,"carried out the mechanized support with the Scissor # 200, the heavy equipment operator; foot causing the injur",,,,,,,0,2,0,0,0,False,False,True,False,False,False,0.25
industrial_safety_000095,Fall-from-height energy,scaffolding; scaffold; platform,Fall exposure,"platform were broken, causing the fall of the worker",,,,,Working at height,scaffolding; scaffold,3,1,0,0,2,False,False,True,False,True,False,0.55
industrial_safety_000100,Fall-from-height energy,roof; height; platform,Fall exposure,"falls from the equipment from a height of 2.50 meters. At the time of the accident, the operator",,,PPE [present],helmet,Maintenance / repair; Working at height,maintenance; roof,3,1,0,1,2,False,False,True,False,True,False,0.55
industrial_safety_000103,Vehicle / mobile equipment energy; Fall-from-height energy; Manual handling / ergonomic energy,loader; ladder; carrying,,,,,,,Lifting / handling; Working at height,carrying; ladder,3,0,0,0,2,False,False,False,False,True,False,0.3
industrial_safety_000108,Falling-object / dropped-object energy; Manual handling / ergonomic energy,rock block; reaching,Direct worker exposure,leg causing him superficial injur,Minor injury / irritation,superficial injury,,,Cleaning,cleaning,2,1,1,0,1,False,False,True,False,True,False,0.55
industrial_safety_000112,Falling-object / dropped-object energy,fragment,,,,,,,Cleaning,cleaning,1,0,0,0,1,False,False,False,False,True,False,0.3
industrial_safety_000115,,,,,,,,,,,0,0,0,0,0,False,False,False,False,False,False,0.0
industrial_safety_000119,Chemical energy / hazardous substance; Fall-from-height energy,sulfuric; acid; ladder,Line-of-fire exposure,projection,,,,,Working at height,ladder,3,1,0,0,1,False,False,True,False,True,False,0.55
industrial_safety_000135,,,,,,,,,Cleaning,washing,0,0,0,0,1,False,False,False,False,False,False,0.0
industrial_safety_000136,Mechanical / moving equipment energy; Vehicle / mobile equipment energy,belt; truck,Direct worker exposure,operator performs a defensive maneuver the truck hits the left gable causing the injur,,,PPE [present],safety glasses,,,2,1,0,1,0,False,False,True,False,True,False,0.55
industrial_safety_000140,Electrical energy,electrical; arc,,,Burn / thermal injury,burn,,,Inspection,checking,2,0,1,0,1,False,False,False,False,True,False,0.3
industrial_safety_000145,,,,,Cut / laceration,cut,,,Cleaning,washing,0,0,1,0,1,False,False,False,False,False,False,0.0
industrial_safety_000166,Manual handling / ergonomic energy,reaching,,,,,,,,,1,0,0,0,0,False,False,False,False,False,False,0.0
industrial_safety_000169,Electrical energy; Pressure / stored pressure; Fall-from-height energy,electrical; hydraulic; pressure; platform,Fall exposure,"platform, while the mechanic",,,,,Maintenance / repair; Drilling / cutting,maintenance; drill,4,1,0,0,2,False,False,True,False,True,False,0.55
industrial_safety_000187,Chemical energy / hazardous substance,nitric; acid,Direct worker exposure,employee's coat had contact,Burn / thermal injury,burn,,,Lifting / handling,handling,2,1,1,0,1,False,False,True,False,False,False,0.25
industrial_safety_000190,Chemical energy / hazardous substance,ammonia,Chemical exposure,"ammonia, used as a refrigerant, into a container of water when splashes of the solution drained onto his face",,,,,,,1,1,0,0,0,False,False,True,False,False,False,0.25
industrial_safety_000197,Sharp-object energy,knife,Direct worker exposure,employee of partner company gr reports that she was cutting watermelon when she injur,Cut / laceration,cutting,,,Drilling / cutting,cutting,1,1,1,0,1,False,False,True,False,False,False,0.25
industrial_safety_000198,Manual handling / ergonomic energy,carrying,Line-of-fire exposure; Vehicle exposure,released; carrying out activities in the city of Juína and was coordinated by mining technician,,,,,Lifting / handling,carrying,1,2,0,0,1,False,False,True,False,False,False,0.25
industrial_safety_000210,,,,,,,,,,,0,0,0,0,0,False,False,False,False,False,False,0.0
industrial_safety_000219,Fall-from-height energy; Sharp-object energy,height; knife,Direct worker exposure,finger of the left hand causing the injur,,,PPE [failed_or_absent],gloves,,,2,1,0,1,0,False,False,True,False,True,True,0.65
industrial_safety_000222,,,,,,,,,Inspection,check,0,0,0,0,1,False,False,False,False,False,False,0.0
industrial_safety_000232,,,Direct worker exposure; Line-of-fire exposure; Body part contact,"person has had contact; projection; face. In an attempt to remove PPE, the injured person has had contact",Eye / facial injury; Minor injury / irritation,"face. In an attempt to remove PPE, the injured person has had contact; irritation",PPE [present],PPE,Maintenance / repair,maintenance,0,3,2,1,1,False,False,True,False,False,False,0.25
industrial_safety_000236,Fall-from-height energy,ladder; height; platform,Direct worker exposure; Fall exposure,operator's door. At the time of the event the injured; platform - at 0.80 m. floor level - slips off balance by hitting your back against the handrail of the operator,,,Fall protection [present],handrail,Working at height,ladder,3,2,0,1,1,False,False,True,False,True,False,0.55
industrial_safety_000239,,,,,,,Guard / physical protection [present],guard,,,0,0,0,1,0,False,False,False,False,False,False,0.0
industrial_safety_000250,Mechanical / moving equipment energy; Pressure / stored pressure; Chemical energy / hazardous substance,conveyor; pneumatic; sulfuric; acid,Line-of-fire exposure; Direct worker exposure,hit; employee was doing cleaning near the area of ​​the pneumatic conveyor when he was hit,Struck-by injury,hit,,,Cleaning,cleaning,4,2,1,0,1,False,False,True,False,True,False,0.55
industrial_safety_000259,Fall-from-height energy,height,,,,,,,Inspection,check,1,0,0,0,1,False,False,False,False,True,False,0.3
industrial_safety_000264,Thermal energy; Manual handling / ergonomic energy,hot gas; reaching,Thermal exposure,"hot gas, reaching the face",,,,,,,2,1,0,0,0,False,False,True,False,True,False,0.55
industrial_safety_000272,,,,,,,PPE [failed_or_absent],gloves,Cleaning,washing,0,0,0,1,1,False,False,False,False,False,True,0.1
industrial_safety_000284,Falling-object / dropped-object energy,splinter,Line-of-fire exposure,released,,,,,Maintenance / repair,repair,1,1,0,0,1,False,False,True,False,True,False,0.55
industrial_safety_000289,,,,,,,,,,,0,0,0,0,0,False,False,False,False,False,False,0.0
industrial_safety_000297,Fall-from-height energy,height,,,,,,,Driving / vehicle movement,driving,1,0,0,0,1,False,False,False,False,True,False,0.3
industrial_safety_000298,,,,,,,,,,,0,0,0,0,0,False,False,False,False,False,False,0.0
industrial_safety_000312,Thermal energy,liquid metal,Thermal exposure; Line-of-fire exposure,liquid metal projection; struck; projection,Struck-by injury,struck,,,,,1,3,1,0,0,False,False,True,False,True,False,0.55
industrial_safety_000314,Fall-from-height energy; Manual handling / ergonomic energy,ladder; height; carrying,,,,,,,Assembly / installation; Lifting / handling; Working at height,assembling; carrying; ladder,3,0,0,0,3,False,False,False,False,True,False,0.3
industrial_safety_000321,Vehicle / mobile equipment energy; Falling-object / dropped-object energy; Fall-from-height energy,loader; stone; height,Vehicle exposure,"Carmen pit of level 3450, the operator",,,,,,,3,1,0,0,0,False,False,True,False,True,False,0.55
industrial_safety_000323,Vehicle / mobile equipment energy,vehicle,,,,,,,,,1,0,0,0,0,False,False,False,False,True,False,0.3
industrial_safety_000331,Vehicle / mobile equipment energy; Falling-object / dropped-object energy; Fall-from-height energy,car; fragment; platform; ladder,Direct worker exposure; Line-of-fire exposure; Fall exposure,"worker causing it to fall and hit; hit; ladder of access, the water increases and a fragment of rock slides and hits the back of the worker",Struck-by injury,hit,,,Working at height,ladder,4,3,1,0,1,False,False,True,False,True,False,0.55
industrial_safety_000332,Mechanical / moving equipment energy; Sharp-object energy,blade,Body part contact; Direct worker exposure,"right hand It rubs against the edge of the guillotine blade, causing the cut; hand it rubs against the edge of the guillotine blade, causing the cut",Cut / laceration,cuts; cut,,,,,2,2,2,0,0,False,False,True,False,False,False,0.25
industrial_safety_000337,Mechanical / moving equipment energy; Manual handling / ergonomic energy,fan; pulling,Direct worker exposure,worker's left hand toward the propeller causing the injury,,,,,Cleaning,cleaning,2,1,0,0,1,False,False,True,False,False,False,0.25
industrial_safety_000338,Fall-from-height energy,height,Direct worker exposure; Line-of-fire exposure; Vehicle exposure,"collaborator hit; hit; carpentry work, the collaborator hit",Struck-by injury; Minor injury / irritation,hit; bruise,,,,,1,3,2,0,0,False,False,True,False,True,False,0.55
industrial_safety_000342,Pressure / stored pressure,hydraulic,Line-of-fire exposure,released,,,Guard / physical protection [present],protector,,,1,1,0,1,0,False,False,True,False,True,False,0.55
industrial_safety_000346,,,Direct worker exposure,"person involved involuntarily touches his face, with his hand (with gloves) full of pain",,,PPE [present],gloves,Cleaning; Painting / coating,clean; painting; paint,0,1,0,1,3,False,False,True,False,False,False,0.25
industrial_safety_000361,Vehicle / mobile equipment energy,truck; loader,Line-of-fire exposure; Vehicle exposure; Direct worker exposure,"hit; loader with another operator; truck, it was hit; employee, who was hit",Struck-by injury,hit,,,,,2,4,1,0,0,False,False,True,False,True,False,0.55
industrial_safety_000364,Vehicle / mobile equipment energy; Falling-object / dropped-object energy; Sharp-object energy,vehicle; fragment; broken glass,,,,,,,,,3,0,0,0,0,False,False,False,False,True,False,0.3
industrial_safety_000370,Chemical energy / hazardous substance,nitric; acid,Chemical exposure; Line-of-fire exposure,"nitric acid, the same detached from the doser, causing projection in the region of the face and upper limbs; projection",,,,,,,2,2,0,0,0,False,False,True,False,False,False,0.25
industrial_safety_000371,Mechanical / moving equipment energy; Fall-from-height energy,conveyor; belt; height,Fall exposure,height of the chest. At the time of the accident the mechanic,,,,,Cleaning,clean,3,1,0,0,1,False,False,True,False,True,False,0.55
industrial_safety_000372,Electrical energy,electrical; electric,Electrical exposure,electric shock,Electrical injury,electric shock,,,,,2,1,1,0,0,False,False,True,True,True,False,0.8
