report_id,source,report_type,timestamp,site,location,department,activity,asset,description,unsafe_act,unsafe_condition,near_miss,hi_po,hazards,exposure,potential_consequences,barriers,barrier_status,life_saving_rules,actual_outcome,potential_accident_level,sif_potential,annotation_confidence,annotation_version,source_gender,source_actor_type,normalized_description,duplicate_group_id,duplicate_group_size,is_duplicate,potential_level_numeric,text_length,risk,annotation_round,annotation_status,sif_reason,evidence_text,hazard_notes,exposure_notes,consequence_notes,barrier_notes,annotator_confidence,annotator_id,annotated_at_utc
industrial_safety_000232,industrial_safety_analytics_database,incident,2016-09-20T00:00:00,Country_02,Local_05,Metals,,,"The employee was performing maintenance of the blower, when the residual water projection occurred on his face. In an attempt to remove PPE, the injured person has had contact with contaminated gloves with the right eye causing irritation.",,,,,['Blocking and isolation of energies'],[],[],[],[],[],I,II,,,v0.2,Male,Third Party (Remote),the employee was performing maintenance of the blower when the residual water projection occurred on his face in an attempt to remove ppe the injured person has had contact with contaminated gloves with the right eye causing irritation,DUP_0320,1,False,2,239,['Blocking and isolation of energies'],v0.2_calibration,pending,,,,,,,,,
industrial_safety_000382,industrial_safety_analytics_database,incident,2017-04-10T00:00:00,Country_02,Local_02,Mining,,,"Employee to perform painting of the floor of the fuel tank area, he needed cleaning, and by pouring water-thinner on the floor, the bucket slipped out of his hand and the mixture projected onto his left shoulder and lower lip, causing redness and burning.",,,,,['Chemical substances'],[],[],[],[],[],I,II,,,v0.2,Male,Third Party,employee to perform painting of the floor of the fuel tank area he needed cleaning and by pouring waterthinner on the floor the bucket slipped out of his hand and the mixture projected onto his left shoulder and lower lip causing redness and burning,DUP_0181,1,False,2,255,['Chemical substances'],v0.2_calibration,pending,,,,,,,,,
industrial_safety_000198,industrial_safety_analytics_database,incident,2016-08-02T00:00:00,Country_03,Local_10,Others,,,"The mincing team was carrying out activities in the city of Juína and was coordinated by mining technician Felipe a time when the mining technician was last in line and more away from the team, was bitten by a blackjack on the left side of his face. There was no allergic manifestation and the team continued the work. In the afternoon, after lunch, the employee sought medical care, was medicated and released to continue activities the next day.",,,,,['Bees'],[],[],[],[],[],I,I,,,v0.2,Male,Third Party,the mincing team was carrying out activities in the city of juína and was coordinated by mining technician felipe a time when the mining technician was last in line and more away from the team was bitten by a blackjack on the left side of his face there was no allergic manifestation and the team continued the work in the afternoon after lunch the employee sought medical care was medicated and released to continue activities the next day,DUP_0340,1,False,1,447,['Bees'],v0.2_calibration,pending,,,,,,,,,
industrial_safety_000187,industrial_safety_analytics_database,incident,2016-07-15T00:00:00,Country_02,Local_05,Metals,,,"when handling a sample in the laboratory, the sleeve of the employee's coat had contact with nitric acid, absorbing a small amount that came to reach the left forearm, causing a 1st degree burn.",,,,,['Chemical substances'],[],[],[],[],[],I,II,,,v0.2,Female,Employee,when handling a sample in the laboratory the sleeve of the employees coat had contact with nitric acid absorbing a small amount that came to reach the left forearm causing a 1st degree burn,DUP_0376,1,False,2,194,['Chemical substances'],v0.2_calibration,pending,,,,,,,,,
industrial_safety_000112,industrial_safety_analytics_database,incident,2016-04-26T00:00:00,Country_02,Local_05,Metals,,,The injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass.,,,,,['Cut'],[],[],[],[],[],I,II,,,v0.2,Female,Third Party,the injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass,DUP_0333,1,False,2,131,['Cut'],v0.2_calibration,pending,,,,,,,,,
industrial_safety_000250,industrial_safety_analytics_database,incident,2016-10-11T00:00:00,Country_02,Local_05,Metals,,,Employee was doing cleaning near the area of ​​the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip.,,,,,['Chemical substances'],[],[],[],[],[],I,III,,,v0.2,Male,Employee,employee was doing cleaning near the area of the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip,DUP_0182,1,False,3,130,['Chemical substances'],v0.2_calibration,pending,,,,,,,,,
industrial_safety_000346,industrial_safety_analytics_database,incident,2017-02-17T00:00:00,Country_01,Local_01,Mining,,,"Once the painting of the pumping pipe has been completed, the person involved involuntarily touches his face, with his hand (with gloves) full of paint, and to clean himself he makes use of a dry industrial cloth and begins to rub his face, for a period of time from 30 to 40 seconds continuously, until finally the paint on the face is cleaned, this friction generates the described injury.",,,,,['Chemical substances'],[],[],[],[],[],I,III,,,v0.2,Male,Employee,once the painting of the pumping pipe has been completed the person involved involuntarily touches his face with his hand with gloves full of paint and to clean himself he makes use of a dry industrial cloth and begins to rub his face for a period of time from 30 to 40 seconds continuously until finally the paint on the face is cleaned this friction generates the described injury,DUP_0278,1,False,3,391,['Chemical substances'],v0.2_calibration,pending,,,,,,,,,
industrial_safety_000190,industrial_safety_analytics_database,incident,2016-07-20T00:00:00,Country_02,Local_05,Metals,,,"The employee reports that he was draining ammonia, used as a refrigerant, into a container of water when splashes of the solution drained onto his face.",,,,,['Chemical substances'],[],[],[],[],[],I,III,,,v0.2,Male,Employee,the employee reports that he was draining ammonia used as a refrigerant into a container of water when splashes of the solution drained onto his face,DUP_0309,1,False,3,152,['Chemical substances'],v0.2_calibration,pending,,,,,,,,,
industrial_safety_000145,industrial_safety_analytics_database,incident,2016-06-02T00:00:00,Country_02,Local_05,Metals,,,"During the process of washing the material (Becker), the tip of the material was broken which caused a cut of the 5th finger of the right hand",,,,,['Cut'],[],[],[],[],[],I,III,,,v0.2,Male,Employee,during the process of washing the material becker the tip of the material was broken which caused a cut of the 5th finger of the right hand,DUP_0151,1,False,3,142,['Cut'],v0.2_calibration,pending,,,,,,,,,
industrial_safety_000095,industrial_safety_analytics_database,incident,2016-04-05T00:00:00,Country_01,Local_06,Metals,,,"The worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener D2251. the dismantling of the base of the scaffold, located approximately one meter high from the floor of the sump, the rivets of the anchor support of the platform were broken, causing the fall of the worker and impacting the right knee with the support that I am anchored in one of the horizontals of the scaffolding structure.",,,,,['Fall prevention (same level)'],[],[],[],[],[],I,III,,,v0.2,Male,Third Party,the worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener d2251 the dismantling of the base of the scaffold located approximately one meter high from the floor of the sump the rivets of the anchor support of the platform were broken causing the fall of the worker and impacting the right knee with the support that i am anchored in one of the horizontals of the scaffolding structure,DUP_0356,1,False,3,429,['Fall prevention (same level)'],v0.2_calibration,pending,,,,,,,,,
