report_id,source,report_type,timestamp,site,location,department,activity,asset,description,unsafe_act,unsafe_condition,near_miss,hi_po,hazards,exposure,potential_consequences,barriers,barrier_status,life_saving_rules,actual_outcome,potential_accident_level,sif_potential,annotation_confidence,annotation_version,source_gender,source_actor_type,normalized_description,duplicate_group_id,duplicate_group_size,is_duplicate,potential_level_numeric,potential_numeric,actual_numeric,description_length,risk,selection_band,annotation_status,sif_reason,evidence_text,hazard_notes,consequence_notes,barrier_notes,annotator_confidence,annotator_id,annotated_at_utc,exposure_notes,text_length,length_distance,annotation_round,final_sif_potential,label_source,is_uncertain,usable_for_binary_sif_model
industrial_safety_000034,industrial_safety_analytics_database,incident,2016-02-15T00:00:00,Country_02,Local_05,Metals,,,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,,,,,['Others'],[],[],[],[],[],I,II,NO,,v0.1,Male,Employee,the employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma,DUP_0316,1,False,2,,,,['Others'],,completed,"The event involved a minor hand impact while clearing a pipe. There is no indication of high-energy release, significant crushing potential, or another credible mechanism for a fatal or life-altering injury.","The employee was clearing the pipe when he tapped his right thumb against the flange, resulting in little trauma.",Mechanical contact / minor impact energy from the pipe flange.,"Minor injury, such as bruising or a minor contusion. A SIF-level consequence is not reasonably evident from the narrative.",Hand positioning and task technique controls could be improved to prevent contact with the flange during manual pipe clearing.,HIGH,annotator_01,2026-09-02T06:05:20.640569+00:00,The employee's right thumb was exposed to the flange during the pipe-clearing activity.,107.0,,pilot_02,NO,pilot,False,True
industrial_safety_000074,industrial_safety_analytics_database,incident,2016-03-19T00:00:00,Country_01,Local_01,Mining,,,"During the placement of the last support mesh cloth of the work, in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket, when pressing on the mesh, one of the protruding ends of the mesh, crosses the leather glove causing an injury in his right hand.",,,,,['Others'],[],[],[],[],[],I,III,NO,,v0.1,Male,Employee,during the placement of the last support mesh cloth of the work in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket when pressing on the mesh one of the protruding ends of the mesh crosses the leather glove causing an injury in his right hand,DUP_0144,1,False,3,,,,['Others'],,completed,The incident involved a sharp protruding end of electrowelded mesh penetrating the worker's glove and injuring the hand. The described mechanism does not indicate significant stored or high-energy potential capable of causing a fatal or life-altering injury.,"While placing the final support mesh, the injured worker reached the electrowelded mesh toward the scissor bolter operator. When pressing the mesh, a protruding end crossed the leather glove and injured the right hand.",Sharp-edge / puncture hazard from the protruding end of the electrowelded mesh.,"Minor to moderate hand injury, such as puncture wounds, lacerations, or localized tissue damage. A SIF-level consequence is not reasonably evident from the narrative.","Material-handling and hand-protection controls were inadequate or could be improved. Protruding mesh ends should be controlled/trimmed or otherwise protected, and task-appropriate cut/puncture-resistant gloves should be used.",HIGH,annotator_01,2026-09-02T06:10:31.681296+00:00,The worker's right hand was directly exposed to the protruding mesh end while handling and pressing the mesh.,346.0,4.0,pilot_02,NO,adjudicated,False,True
industrial_safety_000075,industrial_safety_analytics_database,incident,2016-03-14T00:00:00,Country_02,Local_05,Metals,,,The employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface.,,,,,['Chemical substances'],[],[],[],[],[],I,IV,YES,,v0.1,Male,Employee,the employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface,DUP_0297,1,False,4,,,,['Chemical substances'],,completed,"The employee was exposed to acidic solution splashes to the face while checking for a leak. Chemical exposure to the face can cause severe burns, permanent eye damage, or other life-altering injuries, depending on the concentration and quantity of the acid.","While checking for an acid leakage in the shipping area, the employee was struck by splashes of solution to the right side of the face.",Chemical energy / corrosive acid solution capable of causing tissue and eye damage.,"Fatality or life-altering injury, including severe facial chemical burns, permanent eye damage/blindness, respiratory injury, or systemic effects depending on the substance.","Leak detection, containment, chemical isolation, and PPE controls were inadequate or ineffective. The employee was exposed to the leak while investigating it. Appropriate isolation/containment, remote leak assessment where feasible, exclusion from the splash zone, and chemical-resistant face/eye protection should prevent direct exposure.",HIGH,annotator_01,2026-09-02T06:09:33.880386+00:00,The employee's right hemiface was directly exposed to the chemical splash while investigating the leak.,121.0,,pilot_02,YES,pilot,False,True
industrial_safety_000076,industrial_safety_analytics_database,incident,2016-03-18T00:00:00,Country_02,Local_05,Metals,,,"The employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot.",,,,,['Fall prevention (same level)'],[],[],[],[],[],I,IV,NO,,v0.1,Male,Employee,the employee was clearing the liquid zinc pump from oven 04 when he stepped on the platform and became unbalanced with a twist in his left foot,DUP_0315,1,False,4,,,,['Fall prevention (same level)'],,completed,"The incident involved a same-level loss of balance and twisting of the foot, with no indication of significant fall height, high-energy release, or credible fatal-injury mechanism.","While clearing the liquid zinc pump, the employee stepped onto the platform, became unbalanced, and twisted his left foot.",Same-level slip/trip/loss of balance; low gravitational energy.,"Sprain, strain, or other minor-to-moderate musculoskeletal injury.","Platform access/working surface allowed a loss of balance, but there is no evidence of a failed critical barrier associated with SIF exposure.",HIGH,annotator_01,2026-09-03T08:42:09.925355+00:00,Employee was exposed while walking/working on the platform.,145.0,,v0.2_calibration,NO,pilot,False,True
industrial_safety_000077,industrial_safety_analytics_database,incident,2016-03-18T00:00:00,Country_02,Local_05,Metals,,,"The employee was transiting toward the cadmium factory, near tank 1440 on copper sulphate, when acid solution spilled in his direction, reaching his legs causing minor burns.",,,,,['Chemical substances'],[],[],[],[],[],I,IV,YES,,v0.1,Male,Employee,the employee was transiting toward the cadmium factory near tank 1440 on copper sulphate when acid solution spilled in his direction reaching his legs causing minor burns,DUP_0322,1,False,4,,,,['Chemical substances'],,completed,"The employee was exposed to an acid solution spill while walking near a process tank. Although the reported injury was minor, uncontrolled acid release has credible potential for severe chemical burns, particularly if exposure had occurred to the eyes, face, or a larger area of the body.","While walking toward the cadmium factory near tank 1440 containing copper sulphate, an acid solution spilled toward the employee, reaching his legs and causing minor burns.",Chemical energy / corrosive acid solution associated with the process equipment.,"Fatality or life-altering injury could result from a larger or more concentrated acid release, including severe chemical burns, permanent eye damage, respiratory injury, or systemic effects.","Containment, leak/spill prevention, and pedestrian segregation controls were inadequate or ineffective. The employee's normal travel route placed him within the potential release zone of the process equipment.",HIGH,annotator_01,2026-09-02T06:13:26.731251+00:00,The employee's legs were directly exposed to the spilled acid solution while transiting near the tank.,174.0,,pilot_02,YES,pilot,False,True
industrial_safety_000082,industrial_safety_analytics_database,incident,2016-03-30T00:00:00,Country_01,Local_03,Mining,,,"After having carried out the mechanized support with the Scissor # 200, the heavy equipment operator picks up the water supply hose towards the drum of the equipment and, while He was heading towards the cabin of the Scissor on the way on a piece of rock - 10 cm high approx. - which displaces by sliding his right foot causing the injury described.",,,,,['Others'],[],[],[],[],[],I,III,NO,,v0.1,Male,Employee,after having carried out the mechanized support with the scissor  200 the heavy equipment operator picks up the water supply hose towards the drum of the equipment and while he was heading towards the cabin of the scissor on the way on a piece of rock  10 cm high approx  which displaces by sliding his right foot causing the injury described,DUP_0006,1,False,3,,,,['Others'],,completed,The event was a same-level slip/trip caused by stepping on a small rock while carrying a water hose. The narrative does not indicate exposure to high-energy hazards or a credible mechanism for a fatal or life-altering injury.,"After mechanized support work, the operator was carrying the water supply hose toward the Scissor equipment cabin when he stepped on an approximately 10 cm-high rock, which displaced/slid and caused his right foot to move, resulting in the reported injury.",Trip/slip hazard and low-level mechanical energy from loose rock on the walking surface.,"Minor to moderate injury, such as a sprain, strain, or fracture. A SIF-level consequence is not reasonably evident from the narrative.",Housekeeping and walking-route controls were inadequate or could be improved. Loose rocks should be removed and walking paths maintained clear of trip hazards.,HIGH,annotator_01,2026-09-02T06:07:25.123701+00:00,The operator was walking while carrying the hose and stepped onto the loose rock.,349.0,1.0,pilot_02,NO,pilot,False,True
industrial_safety_000095,industrial_safety_analytics_database,incident,2016-04-05T00:00:00,Country_01,Local_06,Metals,,,"The worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener D2251. the dismantling of the base of the scaffold, located approximately one meter high from the floor of the sump, the rivets of the anchor support of the platform were broken, causing the fall of the worker and impacting the right knee with the support that I am anchored in one of the horizontals of the scaffolding structure.",,,,,['Fall prevention (same level)'],[],[],[],[],[],I,III,YES,,v0.1,Male,Third Party,the worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener d2251 the dismantling of the base of the scaffold located approximately one meter high from the floor of the sump the rivets of the anchor support of the platform were broken causing the fall of the worker and impacting the right knee with the support that i am anchored in one of the horizontals of the scaffolding structure,DUP_0356,1,False,3,,,,['Fall prevention (same level)'],,completed,"The worker fell when the scaffold anchoring/support failed. Although the fall height was approximately 1 m, the uncontrolled scaffold failure and impact against a structural support created a credible potential for a serious injury.","During scaffold dismantling, the rivets of the anchor support broke, causing the worker to fall and impact his right knee against a support connected to the scaffold structure.",Scaffold structural failure / fall energy.,"Serious impact injury, fracture, crush injury, or potentially more severe injury from scaffold collapse.","Scaffold anchoring/support failed during dismantling, indicating inadequate structural integrity verification or control of the dismantling process.",HIGH,annotator_01,2026-09-03T08:44:14.805226+00:00,Worker was directly exposed to a scaffold collapse/fall while dismantling it at approximately 1 m height.,429.0,,v0.2_calibration,YES,pilot,False,True
industrial_safety_000108,industrial_safety_analytics_database,incident,2016-04-21T00:00:00,Country_02,Local_02,Mining,,,"When performing cleaning with LHD in block F 9970 at level 420, the operator was surprised by a rock block displacement of the side of the gallery, reaching his right leg causing him superficial injury",,,,,['Others'],[],[],[],[],[],I,V,YES,,v0.1,Male,Employee,when performing cleaning with lhd in block f 9970 at level 420 the operator was surprised by a rock block displacement of the side of the gallery reaching his right leg causing him superficial injury,DUP_0387,1,False,5,,,,['Others'],,completed,The operator was exposed to ground/rock-fall hazards while operating an LHD in an underground gallery. A displaced rock block struck the worker's leg; a larger rock fall or impact to the head/torso could have resulted in a serious or fatal injury.,"A rock block displaced from the side of the gallery and struck the operator's right leg, causing a superficial injury.",Uncontrolled ground/rock movement and gravity energy.,"Serious struck-by injury, crushing, fractures, head injury, or fatality.",Ground support/ground-control measures were insufficient to prevent rock displacement into the operator's work area.,HIGH,annotator_01,2026-09-03T08:36:57.790160+00:00,Operator was exposed to unstable rock/ground while performing LHD cleaning in the gallery.,201.0,,v0.2_calibration,YES,pilot,False,True
industrial_safety_000112,industrial_safety_analytics_database,incident,2016-04-26T00:00:00,Country_02,Local_05,Metals,,,The injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass.,,,,,['Cut'],[],[],[],[],[],I,II,NO,,v0.1,Female,Third Party,the injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass,DUP_0333,1,False,2,,,,['Cut'],,completed,"finger puncture from a glass fragment is a low-energy, localized mechanical hazard. While cuts can occasionally lead to complications (infection, tendon/nerve damage, or more serious lacerations), the mechanism described here (piercing while cleaning a sink) does not carry the same escalation potential as high-energy hazards (e.g., machinery, falls from height, chemical exposure, electrical). This is best classified as a minor injury / low-severity precursor rather than a genuine SIF-potential event.","""performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass""","sharp object (glass fragment), low kinetic/contact energy","Under a worse-case variation (larger/deeper glass shard, damage to tendons, nerves, or blood vessels in the hand, or subsequent infection), this could escalate to a more serious hand injury; however, life-threatening or permanently disabling outcomes are unlikely from this specific mechanism","Weak/absent — no indication of cut-resistant gloves being worn, no prior inspection/removal of glass hazards from the sink before cleaning, and no visual check of the work area for hidden sharps",HIGH,annotator_01,2026-09-03T08:37:05.283590+00:00,"Direct hand/finger contact with broken glass while cleaning by touch/feel inside a sink, without visual awareness of the hazard (glass fragment hidden from view)",131.0,,v0.2_calibration,NO,adjudicated,False,True
industrial_safety_000119,industrial_safety_analytics_database,incident,2016-05-02T00:00:00,Country_02,Local_05,Metals,,,The employee reports that climbing the access ladder to the operating room of the Ustulation was surprised by the projection of sulfuric acid.,,,,,['Chemical substances'],[],[],[],[],[],I,IV,YES,,v0.1,Female,Third Party (Remote),the employee reports that climbing the access ladder to the operating room of the ustulation was surprised by the projection of sulfuric acid,DUP_0305,1,False,4,,,,['Chemical substances'],,completed,"The employee was exposed to sulfuric acid projection while climbing an access ladder. Sulfuric acid is highly corrosive and can cause severe chemical burns, permanent eye damage, or potentially fatal injury with significant exposure.","While climbing the access ladder to the operating room, the employee was unexpectedly hit by a projection of sulfuric acid.",Chemical energy / corrosive sulfuric acid under process conditions capable of causing severe tissue damage.,"Fatality or life-altering injury, including severe chemical burns, permanent blindness, respiratory injury, or systemic effects from significant exposure.","Chemical containment, process isolation, splash protection, and access-route controls were inadequate or ineffective. The employee could be exposed to acid while using the access ladder. Effective containment, shielding, leak control, safe access routing, and appropriate chemical-resistant PPE should prevent direct exposure.",HIGH,annotator_01,2026-09-02T06:11:49.795641+00:00,The employee was directly exposed to projected sulfuric acid while accessing the operating area.,142.0,,pilot_02,YES,pilot,False,True
