report_id,hazards,hazard_evidence,exposures,exposure_evidence,actual_consequences,actual_consequence_evidence,potential_consequences,potential_consequence_evidence,observed_barriers,barrier_evidence,activities,activity_evidence,hazard_count,exposure_count,actual_consequence_count,potential_consequence_count,barrier_count,activity_count
industrial_safety_000013,Electrical energy,phase to ground,Direct physical contact; Electrical exposure,"contact; electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact",,,Potential severe electrical injury,"n 544 of Nv 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",,,Assembly / installation; Lifting / handling,installation; lifting,1,2,0,1,0,2
industrial_safety_000025,Mechanical / moving equipment energy; Falling object / dropped object energy; Sharp-object energy,blade; detached; blade,Line-of-fire exposure,released,Cut / laceration,small cuts,Potential severe entanglement / machine injury,"The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborat",PPE [present],gloves,,,3,1,1,1,1,0
industrial_safety_000033,Fall-from-height energy; Caught-between / pinch energy,height; imprisoned,Direct physical contact; Caught-between / pinch exposure; Fall exposure,injured; imprisoned; height,Crushing / amputation,imprisoned between,Potential severe caught-between injury,"he assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon asks him to come down. When the team started, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.",,,,,2,3,1,1,0,0
industrial_safety_000034,,,,,Struck-by / impact injury; Minor irritation / swelling,trauma; little trauma,,,,,,,0,0,2,0,0,0
industrial_safety_000072,Mechanical / moving equipment energy; Sharp-object energy; Slip / trip surface hazard,cutter; blade; slip,Direct physical contact,hit,Cut / laceration; Struck-by / impact injury,blunt cut; hit,Potential severe entanglement / machine injury,"The employee, when performing the adjustment / tightening operation of the cutter blade with which he worked, was neglected, the key to slip, causing the blade of the equipment",,,Adjustment / tightening; Cutting / drilling / grinding,adjustment; cutter,3,1,2,1,0,2
industrial_safety_000074,,,Direct physical contact,injured,,,,,PPE [present],glove,,,0,1,0,0,1,0
industrial_safety_000075,Chemical energy / hazardous substance,acid,Direct physical contact; Chemical exposure,hit; acid leakage in the shipping area when he was hit by splashes,Struck-by / impact injury,hit,Potential severe chemical injury,The employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface.,,,,,1,2,1,1,0,0
industrial_safety_000076,Fall-from-height energy; Slip / trip surface hazard,platform; unbalanced,,,Musculoskeletal injury,twist,,,,,Process operation,pump,2,0,1,0,0,1
industrial_safety_000077,Chemical energy / hazardous substance,copper sulphate,Chemical exposure,acid solution spilled,Minor irritation / swelling,minor,,,,,Process operation,tank,1,1,1,0,0,1
industrial_safety_000082,,,,,,,,,Guard / physical protection [present],cabin,,,0,0,0,0,1,0
industrial_safety_000095,Fall-from-height energy,scaffolding,Line-of-fire exposure; Fall exposure,impacting; scaffold,,,Potential severe fall injury,"ickener D2251. the dismantling of the base of the scaffold, located approximately one meter high from the floor of the sump, the rivets of the anchor support of the platform were broken, causing the fall of the worker and impacting the right knee with the support that I am anchored in one of the horizontal",Structural / ground control [failed_or_absent],"broken, causing the fall of the worker and impacting the right knee with the support",Working at height,scaffold,1,2,0,1,1,1
industrial_safety_000100,Fall-from-height energy; Ground / unstable terrain,falls from; gable,Direct physical contact; Fall exposure,injured; height,,,Potential severe fall injury,"eeve and, without noticing, he steps on empty and falls from the equipment from a height of 2.50 meters. At the time of the accident, the operator was on the scissor bolter platform, the equipment was positioned and blocked to perform t",Fall protection / safe access [failed_or_absent]; PPE [present]; Guard / physical protection [present],"without noticing, he steps on empty and falls from the equipment from a height of 2.50 meters. At the time of the accident, the operator was on the scissor bolter platform; helmet; cabin",Maintenance / repair; Working at height,maintenance; roof,2,2,0,1,3,2
industrial_safety_000103,Vehicle / mobile equipment energy; Fall-from-height energy,loader; ladder,Fall exposure,ladder,,,,,,,Lifting / handling; Working at height,carrying; ladder,2,1,0,0,0,2
