report_id,true_label,probability,control_categories_mentioned,barrier_gap_categories_mentioned,control_category_count,barrier_gap_category_count,has_control,has_gap,has_both,has_neither,description,probability_ranking,sif_label,top_precursor_mechanisms,lsr_candidates
industrial_safety_000422,YES,0.99293809666487,,,0,0,False,False,False,True,"The convoy of the locomotive 15 operated by Mr. Tito is located in hopper OP2 positioning the 1st car under the hopper, the assistant does not observe anything out of the ordinary (dry load there is no presence of water) and initiates the chute, for this, the hydraulic module of the hopper is switched on and with the controls it slightly moves the hopper handle and an untimely flow of water and mud splashes the operator generating the described injury, in addition the collaborator was 7 meters from the line of fire",0.99293809666487,YES,Fire / explosion energy | Line-of-fire exposure,Line of Fire | Safe Mechanical Lifting
industrial_safety_000314,YES,0.991116678881494,,,0,0,False,False,False,True,"At 15:05 hours, Mr. Cesar Tello-MOINSAC, was carrying out the work of assembling the water line, for that he climbs up the cat ladder and at an approximate height of 2.5 meters he vanishes and falls, hitting himself on the way, being transferred to the medical center for his attention.",0.991116678881494,YES,Fall from height,Work at Height
industrial_safety_000382,NO,0.9863461091910516,,,0,0,False,False,False,True,"Employee to perform painting of the floor of the fuel tank area, he needed cleaning, and by pouring water-thinner on the floor, the bucket slipped out of his hand and the mixture projected onto his left shoulder and lower lip, causing redness and burning.",0.9863461091910516,NO,,Confined Space
industrial_safety_000426,YES,0.8828214864661822,,,0,0,False,False,False,True,"In circumstance, the AHK-903 license plate (Empresa which serves the supervision of CMA, carried out the field inspections in the upper bank 4288, when unexpectedly when climbing through the operational access (positive ramp), It slides in an excavated area of ​​approximately 3 meters high, remaining in position with the front part on the floor. The occupants of the vehicle made use of the safety belt and all the complete epps.",0.8828214864661822,YES,Vehicle interaction,Driving
industrial_safety_000370,YES,0.8714489612642562,,,0,0,False,False,False,True,"During the preparation for the solubilization activity of the sample in the chapel, the maid when moving the vial of nitric acid, the same detached from the doser, causing projection in the region of the face and upper limbs.",0.8714489612642562,YES,Chemical / hazardous release,
industrial_safety_000389,YES,0.8664508900505058,,,0,0,False,False,False,True,"In moments that Mr. William carried out the inspection of the cut of the Block 781 Level 1850 OB6A, so that the loading platform could be realized, in instants that observed the drills positive radial ones that were covered and shotcreteados, he hears a noise from the upper part of the pit (detachments of banks at the center of the pit), to which Mr. William goes back to leave work, but his metatarsal boots makes contact with a rock that was on the floor which causes it to lose balance and stumble on the gable.",0.8664508900505058,YES,Fall from height,Work at Height
industrial_safety_000166,YES,0.8641740868801234,,,0,0,False,False,False,True,"At approximately 5:45 pm, the operator Paulo (operator of the filters) informed the autoclave operator via radio of a leak on the side of the scruber. The autoclave III feed was stopped by the control and officials Georli and Renato initiated the procedures for closing the autoclave transfer valve for flash TQs. Soon after, there was a break in the chicken, projecting pulp hot and reaching three employees who were inside the room near the equipment.",0.8641740868801234,YES,Chemical / hazardous release | Thermal energy,
industrial_safety_000403,YES,0.8639438692414778,,,0,0,False,False,False,True,"When performing shotcrete casting for resane on Cruise 791 Nv. 1940 at 02:50 p.m. approximately, the operator was placed on the left side of the equipment and started the release of 02 cubic meters, at that time decided to paralyze the task for a few minutes due to a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock (setting). When restarting the shotcrete launch the operator that was on the left side moved to the right side of the equipment, while the assistant and the operator mixkret to see that there was no pumping went to verify what happened and when they returned they realized that the operator was not, so they assume that he had fallen down the chimney, they left the job to ask for help immediately. The emergency response brigade and the medical service are activated, who verify the death of the collaborator. The accident investigation begins.",0.8639438692414778,YES,Chemical / hazardous release,
industrial_safety_000140,YES,0.7670891387019364,,,0,0,False,False,False,True,"When checking voltage at the power outlet of the the plug and socket to make sure the connection was correct, when there was a small electrical arc in the power cord, causing a slight burn in the right hand wrist. The protection system acted immediately.",0.7670891387019364,YES,Electrical energy,
industrial_safety_000364,YES,0.4556808364092439,,,0,0,False,False,False,True,"At Level 3970 (Before -100) When the F6M 801 license plate went from level 3570 to surface, when the pilot trying to locate his radio to answer a call from the concrete plant is distracted and crashes his vehicle against the left gable and the vehicle turns to the right side. When this happens, the copilot hits his right hand against a fragment of broken glass in the window on the right side of the vehicle.",0.4556808364092439,YES,Vehicle interaction,Driving
industrial_safety_000115,NO,0.3458173707783626,,,0,0,False,False,False,True,"The employee performed the return of the load at the entrance of the debarking machine, while trying to align a cathode was pressed in his right hand.",0.3458173707783626,NO,Moving equipment / mechanical energy,Safe Mechanical Lifting
industrial_safety_000075,YES,0.2725186889269764,,,0,0,False,False,False,True,The employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface.,0.2725186889269764,YES,Chemical / hazardous release,
industrial_safety_000289,NO,0.0822024315526296,,,0,0,False,False,False,True,"The maid while walking in the electrolysis area, stumbled and fell next to the bathroom in room B.",0.0822024315526296,NO,Fall from height,
industrial_safety_000145,NO,0.0320125634874343,,,0,0,False,False,False,True,"During the process of washing the material (Becker), the tip of the material was broken which caused a cut of the 5th finger of the right hand",0.0320125634874343,NO,,
industrial_safety_000361,YES,0.0151505494585361,,,0,0,False,False,False,True,"The employee, who was hitchhiking, on the CEP 403 truck, equipment, he crossed the central canterio of the track to catch the key of the wheel loader with another operator who was stopped in the opposite direction. Upon returning to the truck, it was hit in the arm left by the loader tire that was traveling along the road and passed the CEP-403 on the right.",0.0151505494585361,YES,Vehicle interaction,Driving
industrial_safety_000077,YES,0.0113804484899385,,,0,0,False,False,False,True,"The employee was transiting toward the cadmium factory, near tank 1440 on copper sulphate, when acid solution spilled in his direction, reaching his legs causing minor burns.",0.0113804484899385,YES,Chemical / hazardous release,Confined Space
