report_id,source,report_type,timestamp,site,location,department,activity,asset,description,unsafe_act,unsafe_condition,near_miss,hi_po,hazards,exposure,potential_consequences,barriers,barrier_status,life_saving_rules,actual_outcome,potential_accident_level,sif_potential,annotation_confidence,annotation_version,source_gender,source_actor_type,normalized_description,duplicate_group_id,duplicate_group_size,is_duplicate,potential_level_numeric,text_length,risk,length_distance,annotation_round,annotation_status,sif_reason,evidence_text,hazard_notes,exposure_notes,consequence_notes,barrier_notes,annotator_confidence,annotator_id,annotated_at_utc
industrial_safety_000289,industrial_safety_analytics_database,incident,2016-12-16T00:00:00,Country_02,Local_08,Metals,,,"The maid while walking in the electrolysis area, stumbled and fell next to the bathroom in room B.",,,,,['Others'],[],[],[],[],[],I,II,,,v0.1,Female,Third Party,the maid while walking in the electrolysis area stumbled and fell next to the bathroom in room b,DUP_0338,1,False,2,98,['Others'],,pilot_02,pending,,,,,,,,,
industrial_safety_000222,industrial_safety_analytics_database,incident,2016-09-06T00:00:00,Country_02,Local_02,Mining,,,the check list of the area of ​​the survey the operator slipped in the foliage of the leucenas and fell.,,,,,['Others'],[],[],[],[],[],I,II,,,v0.1,Male,Employee,the check list of the area of the survey the operator slipped in the foliage of the leucenas and fell,DUP_0288,1,False,2,104,['Others'],,pilot_02,pending,,,,,,,,,
industrial_safety_000034,industrial_safety_analytics_database,incident,2016-02-15T00:00:00,Country_02,Local_05,Metals,,,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,,,,,['Others'],[],[],[],[],[],I,II,,,v0.1,Male,Employee,the employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma,DUP_0316,1,False,2,107,['Others'],,pilot_02,pending,,,,,,,,,
industrial_safety_000264,industrial_safety_analytics_database,incident,2016-11-08T00:00:00,Country_02,Local_08,Metals,,,"When igniting the furnace 07 of the battery I, there was reflux of hot gas, reaching the face of the employee.",,,,,['Others'],[],[],[],[],[],I,II,,,v0.1,Male,Employee,when igniting the furnace 07 of the battery i there was reflux of hot gas reaching the face of the employee,DUP_0377,1,False,2,110,['Others'],,pilot_02,pending,,,,,,,,,
industrial_safety_000082,industrial_safety_analytics_database,incident,2016-03-30T00:00:00,Country_01,Local_03,Mining,,,"After having carried out the mechanized support with the Scissor # 200, the heavy equipment operator picks up the water supply hose towards the drum of the equipment and, while He was heading towards the cabin of the Scissor on the way on a piece of rock - 10 cm high approx. - which displaces by sliding his right foot causing the injury described.",,,,,['Others'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,after having carried out the mechanized support with the scissor  200 the heavy equipment operator picks up the water supply hose towards the drum of the equipment and while he was heading towards the cabin of the scissor on the way on a piece of rock  10 cm high approx  which displaces by sliding his right foot causing the injury described,DUP_0006,1,False,3,349,['Others'],1.0,pilot_02,pending,,,,,,,,,
industrial_safety_000284,industrial_safety_analytics_database,incident,2016-12-12T00:00:00,Country_01,Local_04,Mining,,,"When performing the Doosan RB-10 equipment hammer repair, the employee tries to remove the suspenders with the support of a 25-pound rope; At the moment of receiving the blow the brace or bolt causes a splinter to be released, expelling and impacting on the lower left limb causing metal embedding in it. The collaborator did not notice immediately.",,,,,['Others'],[],[],[],[],[],III,III,,,v0.1,Male,Employee,when performing the doosan rb10 equipment hammer repair the employee tries to remove the suspenders with the support of a 25pound rope at the moment of receiving the blow the brace or bolt causes a splinter to be released expelling and impacting on the lower left limb causing metal embedding in it the collaborator did not notice immediately,DUP_0390,1,False,3,349,['Others'],1.0,pilot_02,pending,,,,,,,,,
industrial_safety_000074,industrial_safety_analytics_database,incident,2016-03-19T00:00:00,Country_01,Local_01,Mining,,,"During the placement of the last support mesh cloth of the work, in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket, when pressing on the mesh, one of the protruding ends of the mesh, crosses the leather glove causing an injury in his right hand.",,,,,['Others'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,during the placement of the last support mesh cloth of the work in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket when pressing on the mesh one of the protruding ends of the mesh crosses the leather glove causing an injury in his right hand,DUP_0144,1,False,3,346,['Others'],4.0,pilot_02,pending,,,,,,,,,
industrial_safety_000075,industrial_safety_analytics_database,incident,2016-03-14T00:00:00,Country_02,Local_05,Metals,,,The employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface.,,,,,['Chemical substances'],[],[],[],[],[],I,IV,,,v0.1,Male,Employee,the employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface,DUP_0297,1,False,4,121,['Chemical substances'],,pilot_02,pending,,,,,,,,,
industrial_safety_000119,industrial_safety_analytics_database,incident,2016-05-02T00:00:00,Country_02,Local_05,Metals,,,The employee reports that climbing the access ladder to the operating room of the Ustulation was surprised by the projection of sulfuric acid.,,,,,['Chemical substances'],[],[],[],[],[],I,IV,,,v0.1,Female,Third Party (Remote),the employee reports that climbing the access ladder to the operating room of the ustulation was surprised by the projection of sulfuric acid,DUP_0305,1,False,4,142,['Chemical substances'],,pilot_02,pending,,,,,,,,,
industrial_safety_000077,industrial_safety_analytics_database,incident,2016-03-18T00:00:00,Country_02,Local_05,Metals,,,"The employee was transiting toward the cadmium factory, near tank 1440 on copper sulphate, when acid solution spilled in his direction, reaching his legs causing minor burns.",,,,,['Chemical substances'],[],[],[],[],[],I,IV,,,v0.1,Male,Employee,the employee was transiting toward the cadmium factory near tank 1440 on copper sulphate when acid solution spilled in his direction reaching his legs causing minor burns,DUP_0322,1,False,4,174,['Chemical substances'],,pilot_02,pending,,,,,,,,,
