report_id,description,tfidf_probability,transformer_probability,hybrid_probability,model_disagreement,boundary_uncertainty,ranking_score,selection_reason,active_learning_rank
industrial_safety_000364,"At Level 3970 (Before -100) When the F6M 801 license plate went from level 3570 to surface, when the pilot trying to locate his radio to answer a call from the concrete plant is distracted and crashes his vehicle against the left gable and the vehicle turns to the right side. When this happens, the copilot hits his right hand against a fragment of broken glass in the window on the right side of the vehicle.",0.5006184658908258,0.7162032451658529,0.6084108555283394,0.21558477927502706,0.7831782889433212,0.7561219201377958,Strong model disagreement,1
industrial_safety_000025,"The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves. leather. The worker is transferred to the medical unit for first aid.",0.5657565416880103,0.42975536805594794,0.4977559548719791,0.13600117363206232,0.9955119097439582,0.7551149250511797,TF-IDF YES / Transformer NO disagreement,2
industrial_safety_000295,"Mr. Marcelo withdrew foam from the ajax oven, using the metal spoon to empty it into the foam waste container. At that moment splash of slag residues, impacting the face and generating a surface burn. The worker was wearing a face mask.",0.5622401144729469,0.4389256172704339,0.5005828658716904,0.12331449720251297,0.9988342682566191,0.7205996459449167,TF-IDF YES / Transformer NO disagreement,3
industrial_safety_000210,"The servant would remove the dishes from the bowl of the sink and when picking up a set of plates, there was one of them with the broken / broken edge, causing injury to his 3rd chiropactyl from his right hand.",0.5042532503781372,0.31449200266220523,0.4093726265201712,0.18976124771593195,0.8187452530403424,0.718283328936602,TF-IDF YES / Transformer NO disagreement,4
industrial_safety_000374,"The technician was doing the magnetometric survey when he stepped on a thorn. His reaction was to immediately retreat, losing his balance and so the magnetometer's antenna broke.",0.45607493254889164,0.5984509189026516,0.5272629257257716,0.14237598635375992,0.9454741485484568,0.7180239635087784,TF-IDF NO / Transformer YES disagreement,5
industrial_safety_000357,"When carrying out refractory brick chopping activities, in order to place the support of the bus bar in section 70, a particle is detached, hitting the assistant's right arm that was one meter away from the work area, provoking him a wound in the arm, was treated at the medical center and returned to his usual duties.",0.5459011162799848,0.42057646364905316,0.48323878996451897,0.12532465263093168,0.9664775799290379,0.6902463407056264,TF-IDF YES / Transformer NO disagreement,6
industrial_safety_000216,"Collaborator was cleaning the sink of the Copper repulping area, at the moment of filling the truck with the shovel, he projects sludge towards the lenses; soiling them and obstructing vision. The worker indicates that when removing the lenses to clean them, some mud particles enter the left eye causing discomfort. It is referred to the medical center for the corresponding attention.",0.5455756305680401,0.4200325387153485,0.48280408464169433,0.12554309185269164,0.9656081692833887,0.6899265595030202,TF-IDF YES / Transformer NO disagreement,7
industrial_safety_000219,"On the surface, in the dining room of employees of the unit, while the collaborator performed the chicken habilitation for lunch using a kitchen knife, it comes into contact with the distal part of the second finger of the left hand causing the injury described . During the accident the employee did not use his specific height gloves for this type of work.",0.5323718015979153,0.3946657857886008,0.46351879369325805,0.13770601580931452,0.9270375873865161,0.683193845331989,TF-IDF YES / Transformer NO disagreement,8
industrial_safety_000272,"in Level 2900 dining room, the collaborator finished washing tabolas (food containers) of dimensions 52 cm x 30 cm x 20 cm, proceed to order them by pinking the thumb of the right hand in the corner of the aluminum tabola, generating the lesion. The employee at the time of the accident did not have safety gloves.",0.534118155239967,0.4054891874580427,0.4698036713490048,0.12862896778192429,0.9396073426980096,0.669969840548964,TF-IDF YES / Transformer NO disagreement,9
industrial_safety_000197,The employee of partner company GR reports that she was cutting watermelon when she injured her 2nd chirodactilo of the left hand with the knife.,0.5005704979503199,0.3322233462896287,0.4163969221199743,0.16834715166069125,0.8327938442399486,0.6695235645228172,TF-IDF YES / Transformer NO disagreement,10
industrial_safety_000383,"During the execution of the soil sampling task at the Potions area, around 1:15 pm, Luis - WCA, was opening with a machete and was bitten by a wasp on the back of his right hand, the same was using at the time of the incident all the EPIs needed for activity. The employee was evaluated by the technician who found it to be a mild and localized swelling wound. The employee reported that he did not feel any pain and that he could continue the activity.",0.5343321973722784,0.40620727315298205,0.4702697352626303,0.1281249242192964,0.9405394705252605,0.6694990179384523,TF-IDF YES / Transformer NO disagreement,11
industrial_safety_000338,"Performing carpentry work, the collaborator hit the second finger of the left hand with the hammer, which he held with his right hand, causing a bruise at the height of the nail. The evaluation was carried out at the medical center of the unit, the final diagnosis being contusion on the finger.",0.5202428059819015,0.37682502511839233,0.44853391555014693,0.1434177808635092,0.8970678311002939,0.666688328438589,TF-IDF YES / Transformer NO disagreement,12
industrial_safety_000135,"In circumstances that the collaborator Juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head.",0.5306872870271548,0.40285016262251594,0.4667687248248354,0.1278371244046389,0.9335374496496708,0.6607510646737706,TF-IDF YES / Transformer NO disagreement,13
industrial_safety_000239,"Being 05:30 am. Approximately Marco and Isidro TORRES they were performing the pipe standardization of the CX 771 / CX-983 Nv. 1940; in moments that Marco lifts the air pipe over the spike, this seat and the pipe impacts on the worker's safety guard.",0.537141749544627,0.7419460100975915,0.6395438798211093,0.20480426055296452,0.7209122403577815,0.6535404295108549,Strong model disagreement,14
industrial_safety_000392,"During the execution of the soil sampling task, in the Potions area, around 3:00 pm Pablo was moving on the bite and was bitten by a right elbow wasp over the sleeve uniform. He was using at the time of the incident all the PPE needed for the activity. The employee was evaluated by the team who found it to be a mild injury with localized swelling. The employee reported that he did not feel any pain and that he could continue the activity.",0.530695977572102,0.4074902959424632,0.4690931367572826,0.12320568162963874,0.9381862735145652,0.6520176512783808,TF-IDF YES / Transformer NO disagreement,15
