report_id,sif_precursor_probability,review_priority,model_evidence_conflicts,hazards,exposures,pathways,sif_context_status,pathway_assessment,description
industrial_safety_000429,0.0007064523260611,P1,MODEL_MISS_WITH_EXPLICIT_EVIDENCE|LOW_SCORE_MODEL_MISS_WITH_EXPLICIT_PATHWAY,fall_height,fall_exposure,fall_from_height,SUFFICIENT_CONTEXT,SUPPORTED,"Employee reports that by removing the zinc sheet from the cathode to take it to the easel, it slipped from his hand, fell and hit his left foot."
industrial_safety_000244,0.0018998615758312,P4,,mechanical,,,UNKNOWN,WEAK,During the withdrawal of cathode sample the employee came to press the finger with the tool that cuts the sample.
industrial_safety_000157,0.008972068767309,P4,,stored_projectile,,,UNKNOWN,WEAK,"The employee reports that he was working with brushcutters near the Stone when the blade of the equipment collided with a piece of metal that was projected toward his leg, causing injury to his left leg."
industrial_safety_000137,0.0117252500891534,P4,,fall_height,,,UNKNOWN,WEAK,"During field trip, to return to work after lunch, the employee of the Wellfield company slipped on the loose stones that were in the place. At that moment, with the intention of balancing, he tried hold onto a tree, falling under the right arm causing fracture at the distal end of the radius. The activity was paralyzed and the employee was referred to the Hospital in Paracatu where he underwent medical care."
industrial_safety_000084,0.0119403506382082,P4,,vehicle,,,UNKNOWN,WEAK,"The employee, performing the truck's unloading operation, an iron bundle pressed his right finger and injured his left arm."
industrial_safety_000202,0.0186314528046227,P1,MODEL_MISS_WITH_EXPLICIT_EVIDENCE|LOW_SCORE_MODEL_MISS_WITH_EXPLICIT_PATHWAY,fall_height,fall_exposure,fall_from_height,SUFFICIENT_CONTEXT,SUPPORTED,"On leaving the Company the employee stumbled onto the exit ladder of the building and fell 3 steps, causing twisting of the ankle and grating on the cinnamon"
industrial_safety_000187,0.0210060180584899,P1,MODEL_MISS_WITH_EXPLICIT_EVIDENCE|LOW_SCORE_MODEL_MISS_WITH_EXPLICIT_PATHWAY,chemical | thermal,thermal_exposure,thermal_contact,SUFFICIENT_CONTEXT,SUPPORTED,"when handling a sample in the laboratory, the sleeve of the employee's coat had contact with nitric acid, absorbing a small amount that came to reach the left forearm, causing a 1st degree burn."
industrial_safety_000222,0.0215505712147463,P1,MODEL_MISS_WITH_EXPLICIT_EVIDENCE|LOW_SCORE_MODEL_MISS_WITH_EXPLICIT_PATHWAY,fall_height,fall_exposure,fall_from_height,SUFFICIENT_CONTEXT,SUPPORTED,the check list of the area of ​​the survey the operator slipped in the foliage of the leucenas and fell.
industrial_safety_000301,0.0229146005490932,P4,,fall_height,,,UNKNOWN,WEAK,"During the mechanized support activity in the level 3450 - Tajo when lifting the support mesh on the platform of the Scissor equipment, the employee with a stumble feels a pain in the heel of the left foot."
industrial_safety_000338,0.0244388368577475,P4,,fall_height,,,UNKNOWN,WEAK,"Performing carpentry work, the collaborator hit the second finger of the left hand with the hammer, which he held with his right hand, causing a bruise at the height of the nail. The evaluation was carried out at the medical center of the unit, the final diagnosis being contusion on the finger."
industrial_safety_000235,0.0324404686465833,P4,,pressure,,,UNKNOWN,WEAK,"Employee was preparing rice using a utensil type skimmer to stir inside the pressure cooker when part of the cable broke, reaching its hand causing a blunt cut."
industrial_safety_000251,0.0343332158836965,P4,,fall_height,,,UNKNOWN,WEAK,"Employee assisted in the support of the gate, while the other the tying of the canvas in the frame, and by pressing the rope so that the canvas stretched, the metal structure moved, coming out of the wooden support, falling and striking against the employee's face, causing a cut in the right superciliary."
industrial_safety_000435,0.0518012393639614,P4,,fall_height,,,UNKNOWN,WEAK,"The collaborator moved from the infrastructure office (Julio to the toilets, when the pin of the right shoe is hooked on the bra of the left shoe causing not to take the step and fall untimely, causing injury described."
industrial_safety_000308,0.0538065195184761,P1,MODEL_MISS_WITH_EXPLICIT_EVIDENCE|LOW_SCORE_MODEL_MISS_WITH_EXPLICIT_PATHWAY,fall_height,fall_exposure,fall_from_height,CONTEXT_LIMITED,SUPPORTED,"The auxiliary of general services I, Paulo e Silva, with 5 months and 10 days of work, was performing the activity of soil collection. During the movement of equipment to the next point, holding a lever, it encountered a piece of sloping ground and with interlaced vegetation, which caused the fall of the to the left, the same side where the tool was held. The rapid fall prevented the employee from leaning, causing a shock of the elbow with the ground. The employee continued the activity for another 3 points of sample collection until he felt the arm bothering."
industrial_safety_000104,0.0562448353294553,P1,MODEL_MISS_WITH_EXPLICIT_EVIDENCE|LOW_SCORE_MODEL_MISS_WITH_EXPLICIT_PATHWAY,fall_height,fall_exposure,fall_from_height,CONTEXT_LIMITED,SUPPORTED,"In moments that the worker-mechanic was the workshop of maintenance, the wire of his mining lamp is hooked with a drill hole (4.0 Kg) that was on the work table of the workshop, which fell 1.m and impacted his left foot causing a minor bruise. At the time of the accident the collaborator used his safety boots with steel toecap."
industrial_safety_000289,0.0597209104482037,P1,MODEL_MISS_WITH_EXPLICIT_EVIDENCE|LOW_SCORE_MODEL_MISS_WITH_EXPLICIT_PATHWAY,fall_height,fall_exposure,fall_from_height,SUFFICIENT_CONTEXT,SUPPORTED,"The maid while walking in the electrolysis area, stumbled and fell next to the bathroom in room B."
industrial_safety_000076,0.0617905345287257,P1,MODEL_MISS_WITH_EXPLICIT_EVIDENCE|LOW_SCORE_MODEL_MISS_WITH_EXPLICIT_PATHWAY,fall_height,fall_exposure,fall_from_height,SUFFICIENT_CONTEXT,SUPPORTED,"The employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot."
industrial_safety_000243,0.0643170349409646,P4,,vehicle,,,UNKNOWN,WEAK,"After carrying out the supply operation of the zinc powder container using the crane to move it, the employee closed the lower lock of this same container and when making the movement to push the lock made an excessive effort with the thumb of the right hand, causing sprain."
industrial_safety_000346,0.0655428212619286,P1,MODEL_MISS_WITH_EXPLICIT_EVIDENCE|LOW_SCORE_MODEL_MISS_WITH_EXPLICIT_PATHWAY,chemical,chemical_exposure,chemical_release_exposure,SUFFICIENT_CONTEXT,SUPPORTED,"Once the painting of the pumping pipe has been completed, the person involved involuntarily touches his face, with his hand (with gloves) full of paint, and to clean himself he makes use of a dry industrial cloth and begins to rub his face, for a period of time from 30 to 40 seconds continuously, until finally the paint on the face is cleaned, this friction generates the described injury."
