report_id,source,report_type,timestamp,site,location,department,activity,asset,description,unsafe_act,unsafe_condition,near_miss,hi_po,hazards,exposure,potential_consequences,barriers,barrier_status,life_saving_rules,actual_outcome,potential_accident_level,sif_potential,annotation_confidence,annotation_version,source_gender,source_actor_type,normalized_description,duplicate_group_id,duplicate_group_size,is_duplicate,potential_level_numeric,text_length,risk,annotation_round,annotation_status,sif_reason,evidence_text,hazard_notes,exposure_notes,consequence_notes,barrier_notes,annotator_confidence,annotator_id,annotated_at_utc
industrial_safety_000232,industrial_safety_analytics_database,incident,2016-09-20T00:00:00,Country_02,Local_05,Metals,,,"The employee was performing maintenance of the blower, when the residual water projection occurred on his face. In an attempt to remove PPE, the injured person has had contact with contaminated gloves with the right eye causing irritation.",,,,,['Blocking and isolation of energies'],[],[],[],[],[],I,II,YES,,v0.1,Male,Third Party (Remote),the employee was performing maintenance of the blower when the residual water projection occurred on his face in an attempt to remove ppe the injured person has had contact with contaminated gloves with the right eye causing irritation,DUP_0320,1,False,2,239,['Blocking and isolation of energies'],v0.2_calibration,completed,"The incident involved residual process water and contaminated PPE during blower maintenance. Although the reported outcome was eye irritation, the presence of residual energy/material and contaminated gloves created a credible potential for serious eye exposure or other life-altering injury.","During blower maintenance, residual water was projected onto the employee's face. While attempting to remove PPE, the employee's contaminated glove contacted the right eye, causing irritation.","Residual process energy/material and contaminated substances, including residual water and contaminants associated with the blower.",The employee's face and right eye were directly exposed to residual water and contaminated PPE.,"Fatality or life-altering injury is possible from a more hazardous residual substance or greater exposure, particularly severe eye injury or permanent vision impairment.","Energy isolation, draining/depressurization, decontamination, and PPE-removal controls were inadequate or ineffective. Residual material remained in the equipment, and contaminated gloves were able to contact the employee's eye during PPE removal.",HIGH,annotator_01,2026-09-02T09:35:09.168223+00:00
industrial_safety_000382,industrial_safety_analytics_database,incident,2017-04-10T00:00:00,Country_02,Local_02,Mining,,,"Employee to perform painting of the floor of the fuel tank area, he needed cleaning, and by pouring water-thinner on the floor, the bucket slipped out of his hand and the mixture projected onto his left shoulder and lower lip, causing redness and burning.",,,,,['Chemical substances'],[],[],[],[],[],I,II,NO,,v0.1,Male,Third Party,employee to perform painting of the floor of the fuel tank area he needed cleaning and by pouring waterthinner on the floor the bucket slipped out of his hand and the mixture projected onto his left shoulder and lower lip causing redness and burning,DUP_0181,1,False,2,255,['Chemical substances'],v0.2_calibration,completed,"The incident involved a small chemical splash of a water-thinner mixture during floor cleaning. The reported consequence was limited to redness and burning of the shoulder and lower lip, with no indication of high-consequence exposure or a credible fatality mechanism.","While preparing to paint the fuel tank area, the employee poured water-thinner onto the floor for cleaning. The bucket slipped from his hand and the mixture splashed onto his left shoulder and lower lip, causing redness and burning.",Chemical exposure from the water-thinner mixture.,The employee's left shoulder and lower lip were directly exposed to the mixture.,"Minor chemical irritation or burns. Based on the narrative, a SIF-level consequence is not reasonably evident.","Chemical-handling controls were inadequate or could be improved. The bucket slipped during manual handling, resulting in direct exposure. A suitable container, controlled pouring method, and appropriate chemical-resistant PPE would reduce the likelihood of splashes.",HIGH,annotator_01,2026-09-02T09:36:20.822758+00:00
industrial_safety_000198,industrial_safety_analytics_database,incident,2016-08-02T00:00:00,Country_03,Local_10,Others,,,"The mincing team was carrying out activities in the city of Juína and was coordinated by mining technician Felipe a time when the mining technician was last in line and more away from the team, was bitten by a blackjack on the left side of his face. There was no allergic manifestation and the team continued the work. In the afternoon, after lunch, the employee sought medical care, was medicated and released to continue activities the next day.",,,,,['Bees'],[],[],[],[],[],I,I,NO,,v0.1,Male,Third Party,the mincing team was carrying out activities in the city of juína and was coordinated by mining technician felipe a time when the mining technician was last in line and more away from the team was bitten by a blackjack on the left side of his face there was no allergic manifestation and the team continued the work in the afternoon after lunch the employee sought medical care was medicated and released to continue activities the next day,DUP_0340,1,False,1,447,['Bees'],v0.2_calibration,completed,"The reported event was a single insect bite/sting to the face, with no allergic reaction or serious consequence. Although insect stings can rarely cause severe reactions, the narrative provides no evidence of significant exposure or a credible high-consequence mechanism in this case.","The reported event was a single insect bite/sting to the face, with no allergic reaction or serious consequence. Although insect stings can rarely cause severe reactions, the narrative provides no evidence of significant exposure or a credible high-consequence mechanism in this case.",Biological/environmental hazard from an insect/bee-type organism.,The technician was directly exposed to the insect while working outdoors and was bitten on the face.,"Minor injury, such as localized pain, swelling, or irritation. A severe allergic reaction is theoretically possible, but it is not supported by the reported event.","Environmental hazard identification and insect-control/awareness measures could be improved. However, the narrative does not indicate a significant barrier failure.",HIGH,annotator_01,2026-09-02T09:38:10.161671+00:00
industrial_safety_000187,industrial_safety_analytics_database,incident,2016-07-15T00:00:00,Country_02,Local_05,Metals,,,"when handling a sample in the laboratory, the sleeve of the employee's coat had contact with nitric acid, absorbing a small amount that came to reach the left forearm, causing a 1st degree burn.",,,,,['Chemical substances'],[],[],[],[],[],I,II,UNCERTAIN,,v0.1,Female,Employee,when handling a sample in the laboratory the sleeve of the employees coat had contact with nitric acid absorbing a small amount that came to reach the left forearm causing a 1st degree burn,DUP_0376,1,False,2,194,['Chemical substances'],v0.2_calibration,completed,"Nitric acid is a strong oxidizing acid capable of causing severe chemical burns, deep tissue damage, and — with sufficient concentration, volume, or duration of contact (e.g., larger splash, contact with eyes, inhalation of fumes, or delayed detection due to it soaking through clothing) — permanent injury or life-threatening harm. The fact that the coat sleeve absorbed the acid and delayed skin contact suggests the employee may not have noticed immediately, which increases the exposure duration risk in a worse-case version of this same event.Nitric acid is a strong oxidizing acid capable of causing severe chemical burns, deep tissue damage, and — with sufficient concentration, volume, or duration of contact (e.g., larger splash, contact with eyes, inhalation of fumes, or delayed detection due to it soaking through clothing) — permanent injury or life-threatening harm. The fact that the coat sleeve absorbed the acid and delayed skin contact suggests the employee may not have noticed immediately, which increases the exposure duration risk in a worse-case version of this same event.","the sleeve of the employee's coat had contact with nitric acid, absorbing a small amount that came to reach the left forearm, causing a 1st degree burn","Chemical energy — corrosive/oxidizing hazardous substance (nitric acid), a Class A hazard capable of severe tissue damage","Direct skin contact via clothing absorption; sleeve of PPE (coat) absorbed acid, which then reached the left forearm — indicates a control (PPE) was present but was breached or insufficient (permeable/absorbent fabric, no chemical-resistant sleeve or apron)","Under marginally different conditions (higher concentration, larger volume, longer contact time before wash-off, contact with face/eyes, or delayed recognition since the acid soaked through fabric before reaching skin) this could result in severe chemical burns, permanent scarring, or greater bodily harm — meeting SIF severity criteria","Weak/failed barrier — the coat (likely standard lab coat, not chemical-resistant) did not prevent acid penetration to skin. No indication of an apron, acid-resistant sleeve guards, or immediate emergency shower/eyewash use is mentioned. This represents a failed or absent engineering/PPE control for the energy level involved",LOW,annotator_01,2026-09-03T08:34:09.438936+00:00
industrial_safety_000112,industrial_safety_analytics_database,incident,2016-04-26T00:00:00,Country_02,Local_05,Metals,,,The injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass.,,,,,['Cut'],[],[],[],[],[],I,II,NO,,v0.1,Female,Third Party,the injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass,DUP_0333,1,False,2,131,['Cut'],v0.2_calibration,completed,"finger puncture from a glass fragment is a low-energy, localized mechanical hazard. While cuts can occasionally lead to complications (infection, tendon/nerve damage, or more serious lacerations), the mechanism described here (piercing while cleaning a sink) does not carry the same escalation potential as high-energy hazards (e.g., machinery, falls from height, chemical exposure, electrical). This is best classified as a minor injury / low-severity precursor rather than a genuine SIF-potential event.","""performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass""","sharp object (glass fragment), low kinetic/contact energy","Direct hand/finger contact with broken glass while cleaning by touch/feel inside a sink, without visual awareness of the hazard (glass fragment hidden from view)","Under a worse-case variation (larger/deeper glass shard, damage to tendons, nerves, or blood vessels in the hand, or subsequent infection), this could escalate to a more serious hand injury; however, life-threatening or permanently disabling outcomes are unlikely from this specific mechanism","Weak/absent — no indication of cut-resistant gloves being worn, no prior inspection/removal of glass hazards from the sink before cleaning, and no visual check of the work area for hidden sharps",HIGH,annotator_01,2026-09-03T08:37:05.283590+00:00
industrial_safety_000250,industrial_safety_analytics_database,incident,2016-10-11T00:00:00,Country_02,Local_05,Metals,,,Employee was doing cleaning near the area of ​​the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip.,,,,,['Chemical substances'],[],[],[],[],[],I,III,NO,,v0.1,Male,Employee,employee was doing cleaning near the area of the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip,DUP_0182,1,False,3,130,['Chemical substances'],v0.2_calibration,completed,"Sulfuric acid is a highly corrosive substance capable of causing severe chemical burns, permanent scarring, and tissue destruction. The contact occurred on the upper lip, a location in close proximity to the eyes, mouth, and airway — a slightly different trajectory or larger volume could have resulted in eye contact (risk of permanent vision loss), mouth/airway exposure, or more extensive facial burns. The fact that this was described as only ""a drop"" is what kept the actual outcome minor; the potential consequence given the hazard energy and proximity to sensitive areas is high.","was hit by a drop of sulfuric acid on his upper lip"" while cleaning near the pneumatic conveyor","Chemical — highly corrosive strong acid (sulfuric acid), likely airborne/splashed from the conveyor system",Direct facial skin contact (upper lip) via an uncontrolled release/splash/drip from process equipment during cleaning activity,"Under a worse-case variation (larger volume, direct eye contact, inhalation of acid mist/fumes, or contact with mucous membranes of mouth/nose), this could result in permanent eye damage, severe facial burns/disfigurement, or respiratory injury — meeting SIF severity criteria","Weak/failed — no indication of face shield, goggles, or splash protection being worn during cleaning near the conveyor; also suggests inadequate containment or isolation of the acid source (e.g., no drip trays, sealed lines, or LOTO) during the cleaning task near an active/residual chemical line",HIGH,annotator_01,2026-09-03T08:40:30.532996+00:00
industrial_safety_000346,industrial_safety_analytics_database,incident,2017-02-17T00:00:00,Country_01,Local_01,Mining,,,"Once the painting of the pumping pipe has been completed, the person involved involuntarily touches his face, with his hand (with gloves) full of paint, and to clean himself he makes use of a dry industrial cloth and begins to rub his face, for a period of time from 30 to 40 seconds continuously, until finally the paint on the face is cleaned, this friction generates the described injury.",,,,,['Chemical substances'],[],[],[],[],[],I,III,YES,,v0.1,Male,Employee,once the painting of the pumping pipe has been completed the person involved involuntarily touches his face with his hand with gloves full of paint and to clean himself he makes use of a dry industrial cloth and begins to rub his face for a period of time from 30 to 40 seconds continuously until finally the paint on the face is cleaned this friction generates the described injury,DUP_0278,1,False,3,391,['Chemical substances'],v0.2_calibration,completed,"The actual injury mechanism here is friction/abrasion from prolonged rubbing with a dry industrial cloth, not the paint chemical itself. While paint exposure to skin/face is undesirable and the cleaning method used was poor practice, this event does not involve a high-energy hazard (no corrosive/toxic chemical injury, no eye contact mentioned, no respiratory exposure). The consequence — skin irritation/abrasion from friction — has low potential to escalate to serious injury or fatality, even under a worse-case variation of the same scenario.","with his hand...full of paint, and to clean himself he makes use of a dry industrial cloth and begins to rub his face, for a period of time from 30 to 40 seconds continuously...this friction generates the described injury""","Mechanical (friction/abrasion) — secondary to a chemical hazard (paint) that was mishandled; the injury-causing mechanism is friction from dry cloth on skin, not the chemical itself","Direct, prolonged (30–40 seconds) friction/rubbing contact between a dry industrial cloth and facial skin, following inadvertent hand-to-face contact with wet paint",": Localized skin abrasion, irritation, or redness from friction; if paint contained irritating/toxic solvents and contact had involved the eyes or mucous membranes instead of general facial skin, the potential consequence could have been more serious (chemical eye injury) — but as described, the realistic escalation potential remains low to moderate, not SIF-level","improper cleaning method used (dry friction instead of appropriate solvent/water-based cleaning or eyewash-type response for facial chemical contact); indicates gaps in training/procedure for skin decontamination after chemical (paint) contact, and glove use did not prevent hand-to-face transfer",MEDIUM,annotator_01,2026-09-03T08:42:54.803434+00:00
industrial_safety_000190,industrial_safety_analytics_database,incident,2016-07-20T00:00:00,Country_02,Local_05,Metals,,,"The employee reports that he was draining ammonia, used as a refrigerant, into a container of water when splashes of the solution drained onto his face.",,,,,['Chemical substances'],[],[],[],[],[],I,III,NO,,v0.1,Male,Employee,the employee reports that he was draining ammonia used as a refrigerant into a container of water when splashes of the solution drained onto his face,DUP_0309,1,False,3,152,['Chemical substances'],v0.2_calibration,completed,"Ammonia is a highly corrosive, toxic, and volatile chemical. As a refrigerant-grade substance, it is typically concentrated, and its reaction with water can be exothermic, generating heat and caustic splash. Facial exposure carries elevated risk of severe chemical burns, eye damage (including permanent vision loss), and respiratory injury from inhaling ammonia vapor/fumes released during the draining process. Even without a stated severe outcome, the combination of hazard energy (concentrated ammonia), exposure route (facial splash), and proximity to eyes/airway meets the threshold for SIF-potential classification.","""draining ammonia, used as a refrigerant, into a container of water when splashes of the solution drained onto his face""","corrosive/toxic substance (ammonia refrigerant), with potential exothermic reaction when combined with water, plus inhalation hazard from vapor release",Direct facial splash contact with the ammonia-water solution during a manual draining/decanting task; likely concurrent inhalation exposure to ammonia fumes given proximity to the face,"Under a worse-case variation (higher ammonia concentration, larger splash volume, direct eye contact, or prolonged inhalation), this could result in permanent eye injury/blindness, severe chemical burns to the face, or respiratory tract damage — clearly meeting SIF severity criteria","Weak/failed — no indication of face shield, chemical splash goggles, or respiratory protection being used during the draining task; also suggests inadequate procedure/engineering controls (e.g., no closed-system transfer, no fume extraction, no controlled-rate draining) for handling a hazardous refrigerant chemical",HIGH,annotator_01,2026-09-03T08:44:56.909275+00:00
industrial_safety_000145,industrial_safety_analytics_database,incident,2016-06-02T00:00:00,Country_02,Local_05,Metals,,,"During the process of washing the material (Becker), the tip of the material was broken which caused a cut of the 5th finger of the right hand",,,,,['Cut'],[],[],[],[],[],I,III,UNCERTAIN,,v0.1,Male,Employee,during the process of washing the material becker the tip of the material was broken which caused a cut of the 5th finger of the right hand,DUP_0151,1,False,3,142,['Cut'],v0.2_calibration,completed,"This event involves breakage of laboratory glassware (a ""Becker,"" likely a Beaker) during a washing task, resulting in a cut to a single finger. This is a low-energy mechanical hazard — the breaking glass produces a sharp edge that caused localized, minor trauma. While cuts can occasionally escalate to tendon, nerve, or vascular damage, the mechanism and body part involved (single finger, 5th digit) do not indicate a realistic pathway to serious injury or fatality, even under a moderately worse-case variation of this scenario.","""During the process of washing the material (Becker), the tip of the material was broken which caused a cut of the 5th finger of the right hand""","harp/broken glass edge (low kinetic energy, contact-type hazard)","direct hand contact with glass labware during a manual washing task; the glassware broke while in-hand or in-contact, exposing the finger to the fractured edge","Under a worse-case variation (deeper cut, damage to tendon/nerve/blood vessel, or a larger glass fragment causing a more severe laceration), this could result in a more serious hand injury requiring surgical repair; however, life-threatening or permanently disabling outcomes are unlikely from this specific mechanism","Weak/absent — no indication that cut-resistant gloves were worn during the glassware washing task, and no mention of an inspection process to identify weakened/cracked glassware before handling",HIGH,annotator_01,2026-09-03T08:46:46.289953+00:00
industrial_safety_000095,industrial_safety_analytics_database,incident,2016-04-05T00:00:00,Country_01,Local_06,Metals,,,"The worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener D2251. the dismantling of the base of the scaffold, located approximately one meter high from the floor of the sump, the rivets of the anchor support of the platform were broken, causing the fall of the worker and impacting the right knee with the support that I am anchored in one of the horizontals of the scaffolding structure.",,,,,['Fall prevention (same level)'],[],[],[],[],[],I,III,YES,,v0.1,Male,Third Party,the worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener d2251 the dismantling of the base of the scaffold located approximately one meter high from the floor of the sump the rivets of the anchor support of the platform were broken causing the fall of the worker and impacting the right knee with the support that i am anchored in one of the horizontals of the scaffolding structure,DUP_0356,1,False,3,429,['Fall prevention (same level)'],v0.2_calibration,completed,"The worker fell when the scaffold anchoring/support failed. Although the fall height was approximately 1 m, the uncontrolled scaffold failure and impact against a structural support created a credible potential for a serious injury.","During scaffold dismantling, the rivets of the anchor support broke, causing the worker to fall and impact his right knee against a support connected to the scaffold structure.",Scaffold structural failure / fall energy.,Worker was directly exposed to a scaffold collapse/fall while dismantling it at approximately 1 m height.,"Serious impact injury, fracture, crush injury, or potentially more severe injury from scaffold collapse.","Scaffold anchoring/support failed during dismantling, indicating inadequate structural integrity verification or control of the dismantling process.",HIGH,annotator_01,2026-09-03T08:44:14.805226+00:00
