report_id,source,report_type,timestamp,site,location,department,activity,asset,description,unsafe_act,unsafe_condition,near_miss,hi_po,hazards,exposure,potential_consequences,barriers,barrier_status,life_saving_rules,actual_outcome,potential_accident_level,sif_potential,annotation_confidence,annotation_version,source_gender,source_actor_type,normalized_description,duplicate_group_id,duplicate_group_size,is_duplicate,potential_level_numeric,potential_numeric,actual_numeric,description_length,risk,selection_band,annotation_status,sif_reason,evidence_text,hazard_notes,consequence_notes,barrier_notes,annotator_confidence,annotator_id,annotated_at_utc,exposure_notes,text_length,length_distance,annotation_round,final_sif_potential,label_source,is_uncertain,usable_for_binary_sif_model,batch_id,active_learning_rank,selection_reason,tfidf_probability,transformer_probability,hybrid_probability,model_disagreement,boundary_uncertainty,ranking_score
industrial_safety_000013,industrial_safety_analytics_database,incident,2016-02-02T00:00:00,Country_01,Local_01,Mining,,,"In moments that the operator of the Jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of Nv 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",,,,,['Electrical installation'],[],[],[],[],[],IV,V,YES,,v0.1,Male,Third Party,in moments that the operator of the jumbo 2 tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of nv 3300 remove the lock and opening the electric board of 440v and 400a and when lifting the thermomagnetic key this makes phase to ground  phase contact with the panel shell  producing a flash which reaches the operator causing the injury described,DUP_0224,1.0,False,5.0,5.0,4.0,398.0,['Electrical installation'],high,completed,"The incident involved exposure to a 440 V, 400 A electrical panel during energization. A phase-to-ground/phase-to-panel fault produced an electrical arc flash that reached the operator. An arc flash at this voltage/current level could result in fatal burns, electrocution, or other life-threatening injuries.","The operator removed the lock, opened the 440 V/400 A electrical board, and lifted the thermomagnetic breaker. This caused phase-to-ground/phase-to-panel contact and an arc flash, which reached and injured the operator.","Electrical energy / arc flash while operating an energized 440 V, 400 A electrical installation.","Fatality or life-altering injury, including severe thermal burns, electric shock/electrocution, cardiac arrest, or secondary injuries.","Failed/inadequate electrical isolation and energization controls. The lock was removed and the panel was opened before energization, exposing the operator to hazardous electrical energy. Controls such as verified de-energization, lockout/tagout, absence-of-voltage testing, appropriate panel protection, and arc-flash PPE appear to have been ineffective or not followed.",HIGH,annotator_01,2026-09-02T05:03:01.129483+00:00,,,,,YES,adjudicated,False,True,,,,,,,,,
industrial_safety_000025,industrial_safety_analytics_database,incident,2016-02-15T00:00:00,Country_01,Local_06,Metals,,,"The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves. leather. The worker is transferred to the medical unit for first aid.",,,,,['Manual Tools'],[],[],[],[],[],I,II,NO,,v0.1,Male,Employee,,DUP_0347,,,,,,,,,completed,"The event involved a blade detaching and bending while manually removing a zinc sheet, causing two small cuts to the knuckles. Although the blade moved unexpectedly, the described energy and consequence are localized and do not indicate a credible SIF-level mechanism.","The blade detached from the cathode, bent and grazed the worker's right hand, producing two small cuts on the finger knuckles.",Sharp blade / localized mechanical energy.,Minor cuts/lacerations to the hand or fingers.,"Leather gloves were being used, providing some hand protection, although the blade still contacted the hand.",HIGH,annotator_01,2026-09-03T10:46:34.880808+00:00,Right hand directly exposed to the blade while manually removing the zinc sheet.,,,active_learning_01,NO,,,,active_learning_batch_01,2.0,TF-IDF YES / Transformer NO disagreement,0.5657565416880103,0.4297553680559479,0.4977559548719791,0.1360011736320623,0.9955119097439582,0.7551149250511797
industrial_safety_000033,industrial_safety_analytics_database,incident,2016-02-20T00:00:00,Country_01,Local_04,Mining,,,"Approximately 1:40 p.m. in circumstances that shotcrete was launched in the Nv. 1680 BP 255 of the OB2B, after finishing the launch of the first mixkret 113, the assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon asks him to come down. When the team started, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.",,,,,['Others'],[],[],[],[],[],V,V,YES,,v0.1,Male,Third Party,,DUP_0016,,,,,,,,,completed,"The worker was trapped between mobile equipment and the excavation wall, creating a high-energy crushing/pinch-point exposure. This mechanism can readily result in severe injury or fatality.","When the Mixkret equipment was moved, the injured worker was found imprisoned between the equipment (left rear wheel area) and the excavation wall (hastial).",Mobile equipment movement / crushing and struck-by energy.,"Crushing, multiple fractures, internal injuries, amputation, or fatality.",Inadequate exclusion-zone and communication controls around mobile equipment movement allowed a person to remain in the line of fire/crush zone.,HIGH,annotator_01,2026-09-03T10:45:36.522279+00:00,Worker was directly within the pinch/crush zone between the moving Mixkret and the excavation wall.,,,active_learning_01,YES,,,,active_learning_batch_01,64.0,High combined uncertainty,0.5316933427691746,0.6664290552178737,0.5990611989935242,0.134735712448699,0.8018776020129517,0.5333811076635723
industrial_safety_000034,industrial_safety_analytics_database,incident,2016-02-15T00:00:00,Country_02,Local_05,Metals,,,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,,,,,['Others'],[],[],[],[],[],I,II,NO,,v0.1,Male,Employee,the employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma,DUP_0316,1.0,False,2.0,,,,['Others'],,completed,"The event involved a minor hand impact while clearing a pipe. There is no indication of high-energy release, significant crushing potential, or another credible mechanism for a fatal or life-altering injury.","The employee was clearing the pipe when he tapped his right thumb against the flange, resulting in little trauma.",Mechanical contact / minor impact energy from the pipe flange.,"Minor injury, such as bruising or a minor contusion. A SIF-level consequence is not reasonably evident from the narrative.",Hand positioning and task technique controls could be improved to prevent contact with the flange during manual pipe clearing.,HIGH,annotator_01,2026-09-02T06:05:20.640569+00:00,The employee's right thumb was exposed to the flange during the pipe-clearing activity.,107.0,,pilot_02,NO,pilot,False,True,,,,,,,,,
industrial_safety_000072,industrial_safety_analytics_database,incident,2016-03-16T00:00:00,Country_02,Local_08,Metals,,,"The employee, when performing the adjustment / tightening operation of the cutter blade with which he worked, was neglected, the key to slip, causing the blade of the equipment to hit him, causing a blunt cut on his right forearm.",,,,,['Manual Tools'],[],[],[],[],[],II,II,NO,,v0.1,Male,Employee,,DUP_0324,,,,,,,,,completed,"The incident involved a manual tool slipping during cutter-blade adjustment, resulting in a blunt cut to the forearm. The described mechanism is localized and does not indicate a credible SIF-level energy or consequence.","While adjusting/tightening the cutter blade, the key slipped, causing the equipment blade to strike the worker's right forearm and produce a blunt cut.",Sharp cutter blade / manual-tool mechanical energy.,"Localized laceration, blunt cut, or moderate forearm injury.","Manual tool slipped during blade adjustment, indicating inadequate control of the tool/blade during the task.",HIGH,annotator_01,2026-09-03T10:43:07.922398+00:00,Worker's forearm was directly exposed to the blade when the tightening key slipped.,,,active_learning_01,NO,,,,active_learning_batch_01,20.0,TF-IDF YES / Transformer NO disagreement,0.51465294862921,0.3843352402063227,0.4494940944177663,0.1303177084228872,0.8989881888355327,0.6293487049127783
industrial_safety_000074,industrial_safety_analytics_database,incident,2016-03-19T00:00:00,Country_01,Local_01,Mining,,,"During the placement of the last support mesh cloth of the work, in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket, when pressing on the mesh, one of the protruding ends of the mesh, crosses the leather glove causing an injury in his right hand.",,,,,['Others'],[],[],[],[],[],I,III,NO,,v0.1,Male,Employee,during the placement of the last support mesh cloth of the work in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket when pressing on the mesh one of the protruding ends of the mesh crosses the leather glove causing an injury in his right hand,DUP_0144,1.0,False,3.0,,,,['Others'],,completed,The incident involved a sharp protruding end of electrowelded mesh penetrating the worker's glove and injuring the hand. The described mechanism does not indicate significant stored or high-energy potential capable of causing a fatal or life-altering injury.,"While placing the final support mesh, the injured worker reached the electrowelded mesh toward the scissor bolter operator. When pressing the mesh, a protruding end crossed the leather glove and injured the right hand.",Sharp-edge / puncture hazard from the protruding end of the electrowelded mesh.,"Minor to moderate hand injury, such as puncture wounds, lacerations, or localized tissue damage. A SIF-level consequence is not reasonably evident from the narrative.","Material-handling and hand-protection controls were inadequate or could be improved. Protruding mesh ends should be controlled/trimmed or otherwise protected, and task-appropriate cut/puncture-resistant gloves should be used.",HIGH,annotator_01,2026-09-02T06:10:31.681296+00:00,The worker's right hand was directly exposed to the protruding mesh end while handling and pressing the mesh.,346.0,4.0,pilot_02,NO,adjudicated,False,True,,,,,,,,,
industrial_safety_000075,industrial_safety_analytics_database,incident,2016-03-14T00:00:00,Country_02,Local_05,Metals,,,The employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface.,,,,,['Chemical substances'],[],[],[],[],[],I,IV,YES,,v0.1,Male,Employee,the employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface,DUP_0297,1.0,False,4.0,,,,['Chemical substances'],,completed,"The employee was exposed to acidic solution splashes to the face while checking for a leak. Chemical exposure to the face can cause severe burns, permanent eye damage, or other life-altering injuries, depending on the concentration and quantity of the acid.","While checking for an acid leakage in the shipping area, the employee was struck by splashes of solution to the right side of the face.",Chemical energy / corrosive acid solution capable of causing tissue and eye damage.,"Fatality or life-altering injury, including severe facial chemical burns, permanent eye damage/blindness, respiratory injury, or systemic effects depending on the substance.","Leak detection, containment, chemical isolation, and PPE controls were inadequate or ineffective. The employee was exposed to the leak while investigating it. Appropriate isolation/containment, remote leak assessment where feasible, exclusion from the splash zone, and chemical-resistant face/eye protection should prevent direct exposure.",HIGH,annotator_01,2026-09-02T06:09:33.880386+00:00,The employee's right hemiface was directly exposed to the chemical splash while investigating the leak.,121.0,,pilot_02,YES,pilot,False,True,,,,,,,,,
industrial_safety_000076,industrial_safety_analytics_database,incident,2016-03-18T00:00:00,Country_02,Local_05,Metals,,,"The employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot.",,,,,['Fall prevention (same level)'],[],[],[],[],[],I,IV,NO,,v0.1,Male,Employee,the employee was clearing the liquid zinc pump from oven 04 when he stepped on the platform and became unbalanced with a twist in his left foot,DUP_0315,1.0,False,4.0,,,,['Fall prevention (same level)'],,completed,"The incident involved a same-level loss of balance and twisting of the foot, with no indication of significant fall height, high-energy release, or credible fatal-injury mechanism.","While clearing the liquid zinc pump, the employee stepped onto the platform, became unbalanced, and twisted his left foot.",Same-level slip/trip/loss of balance; low gravitational energy.,"Sprain, strain, or other minor-to-moderate musculoskeletal injury.","Platform access/working surface allowed a loss of balance, but there is no evidence of a failed critical barrier associated with SIF exposure.",HIGH,annotator_01,2026-09-03T08:42:09.925355+00:00,Employee was exposed while walking/working on the platform.,145.0,,v0.2_calibration,NO,pilot,False,True,,,,,,,,,
industrial_safety_000077,industrial_safety_analytics_database,incident,2016-03-18T00:00:00,Country_02,Local_05,Metals,,,"The employee was transiting toward the cadmium factory, near tank 1440 on copper sulphate, when acid solution spilled in his direction, reaching his legs causing minor burns.",,,,,['Chemical substances'],[],[],[],[],[],I,IV,YES,,v0.1,Male,Employee,the employee was transiting toward the cadmium factory near tank 1440 on copper sulphate when acid solution spilled in his direction reaching his legs causing minor burns,DUP_0322,1.0,False,4.0,,,,['Chemical substances'],,completed,"The employee was exposed to an acid solution spill while walking near a process tank. Although the reported injury was minor, uncontrolled acid release has credible potential for severe chemical burns, particularly if exposure had occurred to the eyes, face, or a larger area of the body.","While walking toward the cadmium factory near tank 1440 containing copper sulphate, an acid solution spilled toward the employee, reaching his legs and causing minor burns.",Chemical energy / corrosive acid solution associated with the process equipment.,"Fatality or life-altering injury could result from a larger or more concentrated acid release, including severe chemical burns, permanent eye damage, respiratory injury, or systemic effects.","Containment, leak/spill prevention, and pedestrian segregation controls were inadequate or ineffective. The employee's normal travel route placed him within the potential release zone of the process equipment.",HIGH,annotator_01,2026-09-02T06:13:26.731251+00:00,The employee's legs were directly exposed to the spilled acid solution while transiting near the tank.,174.0,,pilot_02,YES,pilot,False,True,,,,,,,,,
industrial_safety_000082,industrial_safety_analytics_database,incident,2016-03-30T00:00:00,Country_01,Local_03,Mining,,,"After having carried out the mechanized support with the Scissor # 200, the heavy equipment operator picks up the water supply hose towards the drum of the equipment and, while He was heading towards the cabin of the Scissor on the way on a piece of rock - 10 cm high approx. - which displaces by sliding his right foot causing the injury described.",,,,,['Others'],[],[],[],[],[],I,III,NO,,v0.1,Male,Employee,after having carried out the mechanized support with the scissor  200 the heavy equipment operator picks up the water supply hose towards the drum of the equipment and while he was heading towards the cabin of the scissor on the way on a piece of rock  10 cm high approx  which displaces by sliding his right foot causing the injury described,DUP_0006,1.0,False,3.0,,,,['Others'],,completed,The event was a same-level slip/trip caused by stepping on a small rock while carrying a water hose. The narrative does not indicate exposure to high-energy hazards or a credible mechanism for a fatal or life-altering injury.,"After mechanized support work, the operator was carrying the water supply hose toward the Scissor equipment cabin when he stepped on an approximately 10 cm-high rock, which displaced/slid and caused his right foot to move, resulting in the reported injury.",Trip/slip hazard and low-level mechanical energy from loose rock on the walking surface.,"Minor to moderate injury, such as a sprain, strain, or fracture. A SIF-level consequence is not reasonably evident from the narrative.",Housekeeping and walking-route controls were inadequate or could be improved. Loose rocks should be removed and walking paths maintained clear of trip hazards.,HIGH,annotator_01,2026-09-02T06:07:25.123701+00:00,The operator was walking while carrying the hose and stepped onto the loose rock.,349.0,1.0,pilot_02,NO,pilot,False,True,,,,,,,,,
