report_id,source,report_type,timestamp,site,location,department,activity,asset,description,unsafe_act,unsafe_condition,near_miss,hi_po,hazards,exposure,potential_consequences,barriers,barrier_status,life_saving_rules,actual_outcome,potential_accident_level,sif_potential,annotation_confidence,annotation_version,source_gender,source_actor_type,normalized_description,duplicate_group_id,duplicate_group_size,is_duplicate,potential_level_numeric,text_length,risk,length_distance,annotation_round,annotation_status,sif_reason,evidence_text,hazard_notes,exposure_notes,consequence_notes,barrier_notes,annotator_confidence,annotator_id,annotated_at_utc
industrial_safety_000289,industrial_safety_analytics_database,incident,2016-12-16T00:00:00,Country_02,Local_08,Metals,,,"The maid while walking in the electrolysis area, stumbled and fell next to the bathroom in room B.",,,,,['Others'],[],[],[],[],[],I,II,NO,,v0.1,Female,Third Party,the maid while walking in the electrolysis area stumbled and fell next to the bathroom in room b,DUP_0338,1,False,2,98,['Others'],,pilot_02,completed,The event was a same-level slip/trip and fall while walking. The narrative does not indicate exposure to high-energy hazards or a credible mechanism for a fatal or life-altering injury.,"The worker stumbled and fell while walking in the electrolysis area, next to the bathroom in room B. No high-energy event or serious injury mechanism is described.",Same-level fall / walking-surface hazard.,The worker was walking through the electrolysis area and stumbled near the bathroom.,"Minor to moderate injury, such as bruises, sprains, or fractures. Based on the information provided, SIF-level injury is not reasonably evident.","Housekeeping, walking-surface, and pedestrian safety controls may have been inadequate, but there is insufficient evidence of a failed high-consequence barrier.",HIGH,annotator_01,2026-09-02T06:03:12.559052+00:00
industrial_safety_000222,industrial_safety_analytics_database,incident,2016-09-06T00:00:00,Country_02,Local_02,Mining,,,the check list of the area of ​​the survey the operator slipped in the foliage of the leucenas and fell.,,,,,['Others'],[],[],[],[],[],I,II,NO,,v0.1,Male,Employee,the check list of the area of the survey the operator slipped in the foliage of the leucenas and fell,DUP_0288,1,False,2,104,['Others'],,pilot_02,completed,"The incident was a slip and fall while walking through vegetation during an area inspection. The narrative does not identify significant stored, kinetic, electrical, thermal, or other high-energy exposure capable of causing a fatal or life-altering injury.","While performing the area's survey/checklist, the operator slipped in the foliage of leucenas and fell. No serious injury or high-energy hazard is described.",Same-level slip/fall hazard caused by vegetation/ground conditions.,The operator was walking through an area containing leucena foliage while conducting the inspection.,"Minor to moderate injury, such as bruises, sprains, or fractures. Based on the narrative, a SIF-level consequence is not reasonably evident.",Walking-surface/vegetation management and housekeeping controls could be improved to maintain a clear and safe inspection route.,HIGH,annotator_01,2026-09-02T06:04:26.861504+00:00
industrial_safety_000034,industrial_safety_analytics_database,incident,2016-02-15T00:00:00,Country_02,Local_05,Metals,,,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,,,,,['Others'],[],[],[],[],[],I,II,NO,,v0.1,Male,Employee,the employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma,DUP_0316,1,False,2,107,['Others'],,pilot_02,completed,"The event involved a minor hand impact while clearing a pipe. There is no indication of high-energy release, significant crushing potential, or another credible mechanism for a fatal or life-altering injury.","The employee was clearing the pipe when he tapped his right thumb against the flange, resulting in little trauma.",Mechanical contact / minor impact energy from the pipe flange.,The employee's right thumb was exposed to the flange during the pipe-clearing activity.,"Minor injury, such as bruising or a minor contusion. A SIF-level consequence is not reasonably evident from the narrative.",Hand positioning and task technique controls could be improved to prevent contact with the flange during manual pipe clearing.,HIGH,annotator_01,2026-09-02T06:05:20.640569+00:00
industrial_safety_000264,industrial_safety_analytics_database,incident,2016-11-08T00:00:00,Country_02,Local_08,Metals,,,"When igniting the furnace 07 of the battery I, there was reflux of hot gas, reaching the face of the employee.",,,,,['Others'],[],[],[],[],[],I,II,YES,,v0.1,Male,Employee,when igniting the furnace 07 of the battery i there was reflux of hot gas reaching the face of the employee,DUP_0377,1,False,2,110,['Others'],,pilot_02,completed,"The employee was exposed to an unexpected release/reflux of hot gas from a furnace during ignition. Hot-gas release can cause severe facial burns, inhalation injury, or potentially fatal injury, making this a credible SIF event.","While igniting furnace 07 of Battery I, there was a reflux of hot gas that reached the employee's face.",Thermal energy and pressurized/hot process gas associated with furnace ignition.,The employee's face was directly exposed to the hot-gas reflux during furnace ignition.,"Fatality or life-altering injury, including severe facial/airway burns, thermal injury, or smoke/hot-gas inhalation.","Ignition, gas-flow, and personnel-positioning controls were inadequate or ineffective. The employee was positioned where a hot-gas reflux could reach the face. Proper ignition procedures, gas-flow control, exclusion from the line of fire, and appropriate PPE should prevent direct exposure.",HIGH,annotator_01,2026-09-02T06:06:21.340468+00:00
industrial_safety_000082,industrial_safety_analytics_database,incident,2016-03-30T00:00:00,Country_01,Local_03,Mining,,,"After having carried out the mechanized support with the Scissor # 200, the heavy equipment operator picks up the water supply hose towards the drum of the equipment and, while He was heading towards the cabin of the Scissor on the way on a piece of rock - 10 cm high approx. - which displaces by sliding his right foot causing the injury described.",,,,,['Others'],[],[],[],[],[],I,III,NO,,v0.1,Male,Employee,after having carried out the mechanized support with the scissor  200 the heavy equipment operator picks up the water supply hose towards the drum of the equipment and while he was heading towards the cabin of the scissor on the way on a piece of rock  10 cm high approx  which displaces by sliding his right foot causing the injury described,DUP_0006,1,False,3,349,['Others'],1.0,pilot_02,completed,The event was a same-level slip/trip caused by stepping on a small rock while carrying a water hose. The narrative does not indicate exposure to high-energy hazards or a credible mechanism for a fatal or life-altering injury.,"After mechanized support work, the operator was carrying the water supply hose toward the Scissor equipment cabin when he stepped on an approximately 10 cm-high rock, which displaced/slid and caused his right foot to move, resulting in the reported injury.",Trip/slip hazard and low-level mechanical energy from loose rock on the walking surface.,The operator was walking while carrying the hose and stepped onto the loose rock.,"Minor to moderate injury, such as a sprain, strain, or fracture. A SIF-level consequence is not reasonably evident from the narrative.",Housekeeping and walking-route controls were inadequate or could be improved. Loose rocks should be removed and walking paths maintained clear of trip hazards.,HIGH,annotator_01,2026-09-02T06:07:25.123701+00:00
industrial_safety_000284,industrial_safety_analytics_database,incident,2016-12-12T00:00:00,Country_01,Local_04,Mining,,,"When performing the Doosan RB-10 equipment hammer repair, the employee tries to remove the suspenders with the support of a 25-pound rope; At the moment of receiving the blow the brace or bolt causes a splinter to be released, expelling and impacting on the lower left limb causing metal embedding in it. The collaborator did not notice immediately.",,,,,['Others'],[],[],[],[],[],III,III,YES,,v0.1,Male,Employee,when performing the doosan rb10 equipment hammer repair the employee tries to remove the suspenders with the support of a 25pound rope at the moment of receiving the blow the brace or bolt causes a splinter to be released expelling and impacting on the lower left limb causing metal embedding in it the collaborator did not notice immediately,DUP_0390,1,False,3,349,['Others'],1.0,pilot_02,completed,"The repair involved striking/removing a mechanical component under tension or restraint. The impact caused a metal fragment to be projected into the worker's lower limb, demonstrating uncontrolled stored/mechanical energy and projectile potential. A similar release directed toward the head, eyes, or torso could cause life-altering or fatal injury.","During repair of the Doosan RB-10 hammer, the employee attempted to remove the suspenders using a 25-pound rope. When the component was struck, the brace/bolt released a metal splinter that was projected into the lower left limb, becoming embedded.",Stored mechanical energy and projectile energy from the brace/bolt during removal and impact.,The employee was in close proximity to the component and in the potential line of fire while striking/removing it.,"Fatality or life-altering injury, including penetrating trauma, severe laceration, eye injury, or potentially fatal injury if a metal fragment were projected toward a vital body area.","Line-of-fire, restraint, and controlled disassembly barriers were inadequate or ineffective. The component was struck while the worker remained exposed to potential projectile release. Appropriate restraint, controlled removal methods, exclusion zones, and suitable PPE should prevent personnel exposure.",HIGH,annotator_01,2026-09-02T06:08:38.115293+00:00
industrial_safety_000074,industrial_safety_analytics_database,incident,2016-03-19T00:00:00,Country_01,Local_01,Mining,,,"During the placement of the last support mesh cloth of the work, in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket, when pressing on the mesh, one of the protruding ends of the mesh, crosses the leather glove causing an injury in his right hand.",,,,,['Others'],[],[],[],[],[],I,III,NO,,v0.1,Male,Employee,during the placement of the last support mesh cloth of the work in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket when pressing on the mesh one of the protruding ends of the mesh crosses the leather glove causing an injury in his right hand,DUP_0144,1,False,3,346,['Others'],4.0,pilot_02,completed,The incident involved a sharp protruding end of electrowelded mesh penetrating the worker's glove and injuring the hand. The described mechanism does not indicate significant stored or high-energy potential capable of causing a fatal or life-altering injury.,"While placing the final support mesh, the injured worker reached the electrowelded mesh toward the scissor bolter operator. When pressing the mesh, a protruding end crossed the leather glove and injured the right hand.",Sharp-edge / puncture hazard from the protruding end of the electrowelded mesh.,The worker's right hand was directly exposed to the protruding mesh end while handling and pressing the mesh.,"Minor to moderate hand injury, such as puncture wounds, lacerations, or localized tissue damage. A SIF-level consequence is not reasonably evident from the narrative.","Material-handling and hand-protection controls were inadequate or could be improved. Protruding mesh ends should be controlled/trimmed or otherwise protected, and task-appropriate cut/puncture-resistant gloves should be used.",HIGH,annotator_01,2026-09-02T06:10:31.681296+00:00
industrial_safety_000075,industrial_safety_analytics_database,incident,2016-03-14T00:00:00,Country_02,Local_05,Metals,,,The employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface.,,,,,['Chemical substances'],[],[],[],[],[],I,IV,YES,,v0.1,Male,Employee,the employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface,DUP_0297,1,False,4,121,['Chemical substances'],,pilot_02,completed,"The employee was exposed to acidic solution splashes to the face while checking for a leak. Chemical exposure to the face can cause severe burns, permanent eye damage, or other life-altering injuries, depending on the concentration and quantity of the acid.","While checking for an acid leakage in the shipping area, the employee was struck by splashes of solution to the right side of the face.",Chemical energy / corrosive acid solution capable of causing tissue and eye damage.,The employee's right hemiface was directly exposed to the chemical splash while investigating the leak.,"Fatality or life-altering injury, including severe facial chemical burns, permanent eye damage/blindness, respiratory injury, or systemic effects depending on the substance.","Leak detection, containment, chemical isolation, and PPE controls were inadequate or ineffective. The employee was exposed to the leak while investigating it. Appropriate isolation/containment, remote leak assessment where feasible, exclusion from the splash zone, and chemical-resistant face/eye protection should prevent direct exposure.",HIGH,annotator_01,2026-09-02T06:09:33.880386+00:00
industrial_safety_000119,industrial_safety_analytics_database,incident,2016-05-02T00:00:00,Country_02,Local_05,Metals,,,The employee reports that climbing the access ladder to the operating room of the Ustulation was surprised by the projection of sulfuric acid.,,,,,['Chemical substances'],[],[],[],[],[],I,IV,YES,,v0.1,Female,Third Party (Remote),the employee reports that climbing the access ladder to the operating room of the ustulation was surprised by the projection of sulfuric acid,DUP_0305,1,False,4,142,['Chemical substances'],,pilot_02,completed,"The employee was exposed to sulfuric acid projection while climbing an access ladder. Sulfuric acid is highly corrosive and can cause severe chemical burns, permanent eye damage, or potentially fatal injury with significant exposure.","While climbing the access ladder to the operating room, the employee was unexpectedly hit by a projection of sulfuric acid.",Chemical energy / corrosive sulfuric acid under process conditions capable of causing severe tissue damage.,The employee was directly exposed to projected sulfuric acid while accessing the operating area.,"Fatality or life-altering injury, including severe chemical burns, permanent blindness, respiratory injury, or systemic effects from significant exposure.","Chemical containment, process isolation, splash protection, and access-route controls were inadequate or ineffective. The employee could be exposed to acid while using the access ladder. Effective containment, shielding, leak control, safe access routing, and appropriate chemical-resistant PPE should prevent direct exposure.",HIGH,annotator_01,2026-09-02T06:11:49.795641+00:00
industrial_safety_000077,industrial_safety_analytics_database,incident,2016-03-18T00:00:00,Country_02,Local_05,Metals,,,"The employee was transiting toward the cadmium factory, near tank 1440 on copper sulphate, when acid solution spilled in his direction, reaching his legs causing minor burns.",,,,,['Chemical substances'],[],[],[],[],[],I,IV,YES,,v0.1,Male,Employee,the employee was transiting toward the cadmium factory near tank 1440 on copper sulphate when acid solution spilled in his direction reaching his legs causing minor burns,DUP_0322,1,False,4,174,['Chemical substances'],,pilot_02,completed,"The employee was exposed to an acid solution spill while walking near a process tank. Although the reported injury was minor, uncontrolled acid release has credible potential for severe chemical burns, particularly if exposure had occurred to the eyes, face, or a larger area of the body.","While walking toward the cadmium factory near tank 1440 containing copper sulphate, an acid solution spilled toward the employee, reaching his legs and causing minor burns.",Chemical energy / corrosive acid solution associated with the process equipment.,The employee's legs were directly exposed to the spilled acid solution while transiting near the tank.,"Fatality or life-altering injury could result from a larger or more concentrated acid release, including severe chemical burns, permanent eye damage, respiratory injury, or systemic effects.","Containment, leak/spill prevention, and pedestrian segregation controls were inadequate or ineffective. The employee's normal travel route placed him within the potential release zone of the process equipment.",HIGH,annotator_01,2026-09-02T06:13:26.731251+00:00
