report_id,evidence_type,sentence_index,mechanism,evidence_text,matched_terms,lsr_candidate,barrier_signal
industrial_safety_000013,precursor,0,Electrical energy,"In moments that the operator of the Jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of Nv 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",electric | panel,,
industrial_safety_000013,lsr,0,,"In moments that the operator of the Jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of Nv 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",lifting,Safe Mechanical Lifting,
industrial_safety_000025,precursor,1,Chemical / hazardous release,"At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves.",released,,
industrial_safety_000033,precursor,7,Fall from height,Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.,height,,
industrial_safety_000033,precursor,7,Caught-between / pinch mechanism,Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.,between,,
industrial_safety_000033,lsr,7,,Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.,between,Line of Fire,
industrial_safety_000033,lsr,7,,Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.,height,Work at Height,
industrial_safety_000075,precursor,0,Chemical / hazardous release,The employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface.,acid | leakage,,
industrial_safety_000076,precursor,0,Fall from height,"The employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot.",platform,,
industrial_safety_000076,lsr,0,,"The employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot.",platform,Work at Height,
industrial_safety_000077,precursor,0,Chemical / hazardous release,"The employee was transiting toward the cadmium factory, near tank 1440 on copper sulphate, when acid solution spilled in his direction, reaching his legs causing minor burns.",acid | spilled,,
industrial_safety_000077,lsr,0,,"The employee was transiting toward the cadmium factory, near tank 1440 on copper sulphate, when acid solution spilled in his direction, reaching his legs causing minor burns.",tank,Confined Space,
industrial_safety_000095,precursor,0,Fall from height,The worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener D2251.,scaffold,,
industrial_safety_000095,precursor,1,Fall from height,"the dismantling of the base of the scaffold, located approximately one meter high from the floor of the sump, the rivets of the anchor support of the platform were broken, causing the fall of the worker and impacting the right knee with the support that I am anchored in one of the horizontals of the scaffolding structure.",fall | platform | scaffold,,
industrial_safety_000095,lsr,0,,The worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener D2251.,scaffold,Work at Height,
industrial_safety_000095,lsr,1,,"the dismantling of the base of the scaffold, located approximately one meter high from the floor of the sump, the rivets of the anchor support of the platform were broken, causing the fall of the worker and impacting the right knee with the support that I am anchored in one of the horizontals of the scaffolding structure.",platform | scaffold,Work at Height,
