report_id,source,report_type,timestamp,site,location,department,activity,asset,description,unsafe_act,unsafe_condition,near_miss,hi_po,hazards,exposure,potential_consequences,barriers,barrier_status,life_saving_rules,actual_outcome,potential_accident_level,sif_potential,annotation_confidence,annotation_version,source_gender,source_actor_type,normalized_description,duplicate_group_id,duplicate_group_size,is_duplicate,potential_level_numeric,potential_numeric,actual_numeric,description_length,risk,selection_band,annotation_status,sif_reason,evidence_text,hazard_notes,consequence_notes,barrier_notes,annotator_confidence,annotator_id,annotated_at_utc,exposure_notes,text_length,length_distance,annotation_round,final_sif_potential,label_source,is_uncertain,usable_for_binary_sif_model
industrial_safety_000013,industrial_safety_analytics_database,incident,2016-02-02T00:00:00,Country_01,Local_01,Mining,,,"In moments that the operator of the Jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of Nv 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",,,,,['Electrical installation'],[],[],[],[],[],IV,V,YES,,v0.1,Male,Third Party,in moments that the operator of the jumbo 2 tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of nv 3300 remove the lock and opening the electric board of 440v and 400a and when lifting the thermomagnetic key this makes phase to ground  phase contact with the panel shell  producing a flash which reaches the operator causing the injury described,DUP_0224,1,False,5,5.0,4.0,398.0,['Electrical installation'],high,completed,"The incident involved exposure to a 440 V, 400 A electrical panel during energization. A phase-to-ground/phase-to-panel fault produced an electrical arc flash that reached the operator. An arc flash at this voltage/current level could result in fatal burns, electrocution, or other life-threatening injuries.","The operator removed the lock, opened the 440 V/400 A electrical board, and lifted the thermomagnetic breaker. This caused phase-to-ground/phase-to-panel contact and an arc flash, which reached and injured the operator.","Electrical energy / arc flash while operating an energized 440 V, 400 A electrical installation.","Fatality or life-altering injury, including severe thermal burns, electric shock/electrocution, cardiac arrest, or secondary injuries.","Failed/inadequate electrical isolation and energization controls. The lock was removed and the panel was opened before energization, exposing the operator to hazardous electrical energy. Controls such as verified de-energization, lockout/tagout, absence-of-voltage testing, appropriate panel protection, and arc-flash PPE appear to have been ineffective or not followed.",HIGH,annotator_01,2026-09-02T05:03:01.129483+00:00,,,,,YES,adjudicated,False,True
industrial_safety_000166,industrial_safety_analytics_database,incident,2016-06-17T00:00:00,Country_02,Local_08,Metals,,,"At approximately 5:45 pm, the operator Paulo (operator of the filters) informed the autoclave operator via radio of a leak on the side of the scruber. The autoclave III feed was stopped by the control and officials Georli and Renato initiated the procedures for closing the autoclave transfer valve for flash TQs. Soon after, there was a break in the chicken, projecting pulp hot and reaching three employees who were inside the room near the equipment.",,,,,['Not applicable'],[],[],[],[],[],IV,V,YES,,v0.1,Male,Employee,at approximately 545 pm the operator paulo operator of the filters informed the autoclave operator via radio of a leak on the side of the scruber the autoclave iii feed was stopped by the control and officials georli and renato initiated the procedures for closing the autoclave transfer valve for flash tqs soon after there was a break in the chicken projecting pulp hot and reaching three employees who were inside the room near the equipment,DUP_0037,1,False,5,5.0,4.0,453.0,['Not applicable'],high,completed,"The uncontrolled release of hot pulp under pressure from the autoclave/transfer system exposed multiple employees to a high-energy process upset. Contact with hot material could cause severe or fatal burns, and the sudden rupture/release could also cause serious impact or engulfment injuries.","A leak was reported near the scrubber, the autoclave III feed was stopped, and employees began closing the autoclave transfer valve. Shortly afterward, a break occurred, projecting hot pulp and reaching three employees inside the room.",Thermal energy and process pressure associated with hot pulp in the autoclave/transfer system.,"Fatality or life-altering injury, particularly severe thermal burns/scalding, potentially accompanied by impact injuries from the sudden process release.","Process isolation and containment barriers failed or were insufficient. Although the feed was stopped and personnel initiated transfer-valve closure, the system subsequently ruptured/released hot pulp while employees remained in the exposure area. Effective isolation, pressure control/depressurization, leak-response procedures, exclusion zones, and remote operation should prevent personnel exposure to the release.",HIGH,annotator_01,2026-09-02T05:24:27.081517+00:00,Three employees were inside the room near the equipment when the rupture/release occurred and were directly reached by hot pulp.,,,,YES,pilot,False,True
industrial_safety_000321,industrial_safety_analytics_database,incident,2017-01-25T00:00:00,Country_01,Local_03,Mining,,,"During the process of loading drills in the Carmen pit of level 3450, the operator positions the basket of the anfo loader 186 equipment at a height of 3m from the floor to carry out the loading of the production drills; At this moment, a stone slab of 1.4x0.7x0.2 m is detached from the front of the pit, which is tilted and lodged inside the basket, trapping the right leg of the collaborator.",,,,,['remains of choco'],[],[],[],[],[],V,VI,YES,,v0.1,Male,Third Party,during the process of loading drills in the carmen pit of level 3450 the operator positions the basket of the anfo loader 186 equipment at a height of 3m from the floor to carry out the loading of the production drills at this moment a stone slab of 14x07x02 m is detached from the front of the pit which is tilted and lodged inside the basket trapping the right leg of the collaborator,DUP_0150,1,False,6,6.0,5.0,395.0,['remains of choco'],high,completed,"A large rock slab detached from the pit face while an employee was positioned in the elevated ANFO loader basket. The falling/rolling ground could have caused fatal crushing or traumatic injury, particularly given the employee's proximity and entrapment.","A 1.4 × 0.7 × 0.2 m rock slab detached from the pit front, tilted, and lodged inside the basket, trapping the collaborator's right leg. The basket was approximately 3 m above the floor.","Uncontrolled ground/rockfall energy from loose or unstable rock in the pit face, combined with the elevated work position.","Fatality or life-altering injury from crushing, traumatic amputation, severe fractures, or a larger rockfall striking/engulfing the worker; a fall from the elevated basket could also result in serious injury.","Ground-control and exclusion controls were inadequate or ineffective. The worker and basket were positioned within the potential rockfall zone, and loose/unstable ground was not adequately identified, scaled, barricaded, or otherwise controlled before loading.",HIGH,annotator_01,2026-09-02T05:25:36.761347+00:00,The collaborator was inside the elevated basket directly beneath/in front of the unstable ground when the slab detached.,,,,YES,pilot,False,True
industrial_safety_000337,industrial_safety_analytics_database,incident,2017-02-09T00:00:00,Country_01,Local_03,Mining,,,"the Spillway circumstances where the worker was cleaning, with the use of an absorbent cloth, oil residues from the right edge of the Atlas AXS-186 compressor, with the bonnet open and in functioning; the rag falls inside the ompressor and in the attempt to remove it, it is hooked on the fan's propeller, pulling the worker's left hand toward the propeller causing the injury.",,,,,['Power lock'],[],[],[],[],[],IV,V,YES,,v0.1,Male,Third Party (Remote),the spillway circumstances where the worker was cleaning with the use of an absorbent cloth oil residues from the right edge of the atlas axs186 compressor with the bonnet open and in functioning the rag falls inside the ompressor and in the attempt to remove it it is hooked on the fans propeller pulling the workers left hand toward the propeller causing the injury,DUP_0351,1,False,5,5.0,4.0,377.0,['Power lock'],high,completed,"The worker was cleaning an operating compressor with the bonnet open and reached toward a rag that had fallen into the rotating fan. The rotating equipment had sufficient mechanical energy to pull the worker's hand into the fan, creating potential for amputation or fatal injury.","The compressor was functioning with the bonnet open. The absorbent cloth fell inside the compressor and became hooked on the fan propeller. When the worker attempted to retrieve it, the fan pulled the worker's left hand toward the rotating component, causing injury.",Mechanical/rotational energy from the compressor's operating fan/propeller.,"Fatality or life-altering injury, including severe laceration, crushing, traumatic amputation, or entanglement.","Machine guarding and energy-isolation controls were inadequate or bypassed. The compressor was operating with the bonnet open, allowing access to the rotating fan. The worker attempted intervention without first stopping and isolating the equipment.",HIGH,annotator_01,2026-09-02T05:27:00.674394+00:00,The worker's left hand was directly exposed to the rotating fan while attempting to retrieve the cloth.,,,,YES,pilot,False,True
industrial_safety_000342,industrial_safety_analytics_database,incident,2017-02-14T00:00:00,Country_01,Local_03,Mining,,,"In the Nv. 3370, CX 212 - South, when the Mechanic loosens a through bolt of the intermediate cardan protector of the Dumper 01, the protector is released and imprisons the first finger of the left hand against the connector of the hydraulic steering cylinder (Position 2) .",,,,,['Pressed'],[],[],[],[],[],IV,V,YES,,v0.1,Male,Third Party,in the nv 3370 cx 212  south when the mechanic loosens a through bolt of the intermediate cardan protector of the dumper 01 the protector is released and imprisons the first finger of the left hand against the connector of the hydraulic steering cylinder position 2,DUP_0243,1,False,5,5.0,4.0,274.0,['Pressed'],high,completed,The mechanic's finger was caught between a released mechanical protector and a fixed hydraulic steering-cylinder connector. This represents a stored mechanical energy / pinch-point hazard with credible potential for severe crush injury or traumatic amputation.,"While loosening a through bolt on the intermediate cardan protector of Dumper 01, the protector released and trapped the first finger of the mechanic's left hand against the hydraulic steering-cylinder connector.","Stored mechanical energy and uncontrolled movement of the cardan protector, creating a crushing/pinch point.","Fatality or life-altering injury is possible, particularly severe crushing, fracture, loss of tissue, or traumatic amputation of the finger/hand.",Mechanical restraint/support and pinch-point controls were inadequate or ineffective. The protector was not adequately secured against unexpected movement/release before the retaining bolt was loosened.,HIGH,annotator_01,2026-09-02T05:28:14.137681+00:00,The mechanic's left hand/finger was positioned at the pinch point while loosening the retaining bolt.,,,,YES,pilot,False,True
industrial_safety_000371,industrial_safety_analytics_database,incident,2017-03-18T00:00:00,Country_01,Local_03,Mining,,,"During the activity of changing conveyor belt 11B feeding the primary mill No. 2; the mechanic entered the discharge chute (0.75 x 0.75 x 0.80 m.) to clean the material, at which time the automatic sampler (0.30 x 0.25 m) that was inside the chute was activated, trapping the mechanic at the height of the chest. At the time of the accident the mechanic was alone in the work area.",,,,,['Power lock'],[],[],[],[],[],V,V,YES,,v0.1,Male,Third Party (Remote),during the activity of changing conveyor belt 11b feeding the primary mill no 2 the mechanic entered the discharge chute 075 x 075 x 080 m to clean the material at which time the automatic sampler 030 x 025 m that was inside the chute was activated trapping the mechanic at the height of the chest at the time of the accident the mechanic was alone in the work area,DUP_0117,1,False,5,5.0,5.0,381.0,['Power lock'],high,completed,"The mechanic entered a confined discharge chute while an automatic sampler remained capable of activation. Its unexpected movement trapped the worker at chest level, creating credible potential for fatal crushing, asphyxiation, or other life-altering injury.","During conveyor belt 11B replacement, the mechanic entered the 0.75 × 0.75 × 0.80 m discharge chute to clean material. The automatic sampler activated while he was inside, trapping him at chest height. He was alone in the work area.","Mechanical energy / unexpected movement from the automatically actuated sampler, with additional confined-space entrapment hazard.","Fatality or life-altering injury, including crushing of the chest, traumatic injury, restricted breathing/asphyxiation, or fatal entrapment.","Lockout/tagout and isolation controls were inadequate or ineffective. The automatic sampler was not adequately isolated and secured against unexpected activation before the mechanic entered the chute. The worker also entered a restricted space alone, increasing the severity potential.",HIGH,annotator_01,2026-09-02T05:29:28.004588+00:00,The mechanic was inside the discharge chute within the sampler's operating zone when it activated.,,,,YES,pilot,False,True
industrial_safety_000372,industrial_safety_analytics_database,incident,2017-03-22T00:00:00,Country_01,Local_06,Metals,,,"Being approximately 20:57 hours of 03/22/2017; during the change of cables between the Z-332 power cell (locked cabinet) and the Z014 transformer; there is a loud noise followed by an oscillation of the electrical system. At that moment the collaborator Queneche of the company EISSA is found on the floor with his head inside an adjoining cell Z-132 (cabinet Not blocked - where he was not assigned to do any work), after having received an electric shock .",,,,,['Power lock'],[],[],[],[],[],V,V,YES,,v0.1,Male,Third Party (Remote),being approximately 2057 hours of 03222017 during the change of cables between the z332 power cell locked cabinet and the z014 transformer there is a loud noise followed by an oscillation of the electrical system at that moment the collaborator queneche of the company eissa is found on the floor with his head inside an adjoining cell z132 cabinet not blocked  where he was not assigned to do any work after having received an electric shock,DUP_0095,1,False,5,5.0,5.0,458.0,['Power lock'],high,completed,"The incident involved electrical energy during cable work, with an electrical event followed by an electric shock that caused the worker to collapse. Exposure to the energized or faulted electrical system could readily result in electrocution or fatal arc-flash injuries.","During cable changes between the Z-332 power cell and Z014 transformer, a loud noise and electrical-system oscillation occurred. The worker was subsequently found on the floor with his head inside the adjacent Z-132 cell, after receiving an electric shock. The Z-132 cabinet was not blocked and was not the worker's assigned work area.","Electrical energy, including potential energized conductors, electrical fault energy, and arc-flash/arc-blast energy.","Fatality or life-altering injury, including electrocution, severe burns, arc-flash injury, cardiac arrest, or traumatic injury from an electrical arc/blast.","Electrical isolation, boundary control, and lockout/tagout barriers were inadequate or ineffective. The adjacent Z-132 cell was not blocked, allowing the worker to enter an electrical compartment where he was not assigned to work. The event also indicates inadequate control/verification of hazardous electrical energy before cable work.",HIGH,annotator_01,2026-09-02T05:30:32.089317+00:00,"The worker was exposed to the electrical system while working on the cable connection and subsequently had his head inside an adjacent, unblocked electrical cell.",,,,YES,pilot,False,True
industrial_safety_000393,industrial_safety_analytics_database,incident,2017-04-25T00:00:00,Country_02,Local_07,Mining,,,"ACTIVITY: front sanitation (slaughter of choco with scaller) LOCAL: underground mine, level 350 - front 45 Upper JKA The operator performed front sanitation when a rock block from the roof hit the equipment. The accident victim was promptly rescued by the unit's emergency brigade and transported to the outpatient clinic where he received the first care, and was then transferred to the Municipal of Paracatu.",,,,,['remains of choco'],[],[],[],[],[],IV,V,YES,,v0.1,Male,Employee,activity front sanitation slaughter of choco with scaller local underground mine level 350  front 45 upper jka the operator performed front sanitation when a rock block from the roof hit the equipment the accident victim was promptly rescued by the units emergency brigade and transported to the outpatient clinic where he received the first care and was then transferred to the municipal of paracatu,DUP_0001,1,False,5,5.0,4.0,410.0,['remains of choco'],high,completed,"A rock block detached from the underground mine roof and struck the equipment during front sanitation. Underground ground falls can release substantial energy and could cause fatal crushing or burial, even if the reported event did not directly result in a fatality.","During front sanitation (scaling/slaughter of loose rock) at level 350, a rock block from the roof struck the equipment. The injured worker was rescued by the emergency brigade and subsequently transferred for medical care.",Uncontrolled ground/rockfall energy from unstable rock in the underground roof.,"Fatality or life-altering injury, including crushing, severe traumatic injury, or burial/entrapment from a larger ground fall.","Ground-control and scaling controls were inadequate or ineffective. Unstable roof material remained capable of detaching and striking the work equipment. Adequate scaling, ground-support assessment, exclusion of personnel from unsupported ground, and appropriate ground-control measures are critical barriers.",HIGH,annotator_01,2026-09-02T05:31:30.748762+00:00,The operator was working at the underground front directly beneath/near the potentially unstable roof when the rock block detached.,,,,YES,pilot,False,True
industrial_safety_000401,industrial_safety_analytics_database,incident,2017-05-06T00:00:00,Country_02,Local_07,Mining,,,"The employees Márcio and Sérgio performed the pump pipe clearing activity FZ1.031.4 and during the removal of the suction spool flange bolts, there was projection of pulp over them causing injuries.",,,,,['Projection'],[],[],[],[],[],IV,V,YES,,v0.1,Male,Employee,the employees márcio and sérgio performed the pump pipe clearing activity fz10314 and during the removal of the suction spool flange bolts there was projection of pulp over them causing injuries,DUP_0327,2,True,5,5.0,4.0,198.0,['Projection'],high,completed,"Removing flange bolts from a pump suction spool can release stored pressure and process material unexpectedly. The projection of pulp directly onto two employees demonstrates credible exposure to hazardous process energy, with potential for severe or fatal injury depending on the pulp's temperature, pressure, and composition.","During pump pipe clearing activity FZ1.031.4, employees Márcio and Sérgio were removing suction spool flange bolts when pulp was projected onto them, causing injuries.","Stored pressure/process energy in the pump piping, with uncontrolled release of pulp.","Fatality or life-altering injury, including severe impact/penetration injuries, chemical or thermal burns if the pulp was hazardous, and eye/face injuries.","Isolation, depressurization, and line-of-fire controls were inadequate or ineffective. The flange was opened while hazardous stored energy/material remained capable of being released. Positive isolation, pressure verification, controlled draining/bleeding, and positioning personnel outside the line of fire should have prevented the exposure.",HIGH,annotator_01,2026-09-02T05:32:40.381737+00:00,Two employees were directly in the line of fire while removing the flange bolts and were struck by the projected pulp.,,,,YES,pilot,False,True
industrial_safety_000403,industrial_safety_analytics_database,incident,2017-05-10T00:00:00,Country_01,Local_04,Mining,,,"When performing shotcrete casting for resane on Cruise 791 Nv. 1940 at 02:50 p.m. approximately, the operator was placed on the left side of the equipment and started the release of 02 cubic meters, at that time decided to paralyze the task for a few minutes due to a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock (setting). When restarting the shotcrete launch the operator that was on the left side moved to the right side of the equipment, while the assistant and the operator mixkret to see that there was no pumping went to verify what happened and when they returned they realized that the operator was not, so they assume that he had fallen down the chimney, they left the job to ask for help immediately. The emergency response brigade and the medical service are activated, who verify the death of the collaborator. The accident investigation begins.",,,,,['Fall'],[],[],[],[],[],V,V,YES,,v0.1,Male,Third Party,when performing shotcrete casting for resane on cruise 791 nv 1940 at 0250 pm approximately the operator was placed on the left side of the equipment and started the release of 02 cubic meters at that time decided to paralyze the task for a few minutes due to a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock setting when restarting the shotcrete launch the operator that was on the left side moved to the right side of the equipment while the assistant and the operator mixkret to see that there was no pumping went to verify what happened and when they returned they realized that the operator was not so they assume that he had fallen down the chimney they left the job to ask for help immediately the emergency response brigade and the medical service are activated who verify the death of the collaborator the accident investigation begins,DUP_0389,1,False,5,5.0,5.0,904.0,['Fall'],high,completed,The operator fell down a chimney/vertical opening while performing underground shotcrete work and died. A fall into a vertical excavation or shaft presents an immediate and credible fatality mechanism.,"During shotcrete application at Cruise 791, Nv. 1940, the operator moved from one side of the equipment to the other. When the crew returned, he was missing and was presumed to have fallen down the chimney. The emergency brigade and medical service responded and confirmed the collaborator's death.",Gravity / fall-from-height energy associated with an unprotected or inadequately controlled vertical chimney/opening.,"Fatality or life-altering injury from a fall into the vertical opening, including fatal traumatic injury. Fatality actually occurred in this event.","Fall-prevention and access-control barriers were inadequate or ineffective. The vertical opening was apparently accessible to the operator without sufficient protection to prevent a fall. Guarding/barricading, physical covers, controlled access, fall protection where required, and verification of the work area should have prevented the exposure.",HIGH,annotator_01,2026-09-02T05:33:44.721453+00:00,The operator was working and moving adjacent to the chimney/vertical opening during the shotcrete activity.,,,,YES,adjudicated,False,True
