report_id,sif_precursor_band,sif_precursor_score,primary_trigger,reason_codes,lsr_candidates,lsr_scores,barriers_present,barriers_failed
industrial_safety_000013,HIGH,0.7,Potential severe electrical injury,high-energy hazard; human exposure signal; credible severe potential pathway,Isolation; Line of Fire,Isolation:0.350; Line of Fire:0.350,,
industrial_safety_000025,HIGH,0.7,Potential severe entanglement / machine injury,high-energy hazard; human exposure signal; credible severe potential pathway,Line of Fire; Isolation; Safe Mechanical Lifting,Line of Fire:0.780; Isolation:0.350; Safe Mechanical Lifting:0.350,PPE,
industrial_safety_000033,HIGH,1.0,Potential severe caught-between injury,high-energy hazard; human exposure signal; severe/critical actual consequence; credible severe potential pathway,Work at Height; Line of Fire,Work at Height:0.780; Line of Fire:0.350,,
industrial_safety_000034,LOW,0.0,Struck-by / impact injury,low-energy-only observed event,,,,
industrial_safety_000072,MEDIUM,0.45,Potential severe entanglement / machine injury,human exposure signal; credible severe potential pathway,Isolation; Line of Fire,Isolation:0.350; Line of Fire:0.350,,
industrial_safety_000074,LOW,0.2,No strong SIF precursor signal,human exposure signal,Line of Fire,Line of Fire:0.350,PPE,
industrial_safety_000075,MEDIUM,0.45,Potential severe chemical injury,human exposure signal; credible severe potential pathway,Line of Fire,Line of Fire:0.780,,
industrial_safety_000076,LOW,0.25,High-energy hazard with exposure,high-energy hazard,Work at Height,Work at Height:0.350,,
industrial_safety_000077,LOW,0.0,Minor irritation / swelling,human exposure signal; low-energy-only observed event,Line of Fire,Line of Fire:0.350,,
industrial_safety_000082,LOW,0.0,No strong SIF precursor signal,,,,Guard / physical protection,
industrial_safety_000095,HIGH,0.85,Potential severe fall injury,high-energy hazard; human exposure signal; credible severe potential pathway; barrier gap/failure signal,Work at Height; Line of Fire,Work at Height:0.980; Line of Fire:0.430,,Structural / ground control
industrial_safety_000100,HIGH,0.85,Potential severe fall injury,high-energy hazard; human exposure signal; credible severe potential pathway; barrier gap/failure signal,Work at Height; Line of Fire,Work at Height:0.980; Line of Fire:0.350,Guard / physical protection; PPE,Fall protection / safe access
