report_id,sif_precursor_probability,review_priority,model_evidence_conflicts,hazards,exposures,pathways,sif_context_status,pathway_assessment,description
industrial_safety_000124,0.9983388766425956,P1,HIGH_SCORE_MODEL_CONFLICT,chemical | thermal,line_of_fire,,CONTEXT_LIMITED,PARTIAL,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was struck by sulfuric acid spills from a line located above the house of thermal recovery boiler pumps."
industrial_safety_000123,0.9973648016509604,P1,HIGH_SCORE_MODEL_CONFLICT,chemical | thermal,,,UNKNOWN,WEAK,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was hit by sulfuric acid spills from a line located above the pump house of the thermal recovery boiler."
industrial_safety_000041,0.994932841053506,P1,HIGH_SCORE_MODEL_CONFLICT,chemical,,,UNKNOWN,WEAK,"Approx. at 11:22 am there is a leakage of sulfur dioxide (SO2) from section 20/30 due to water seal blowing due to overpressure of the acid plant, at that moment there were 13 collaborators of CORMEI companies, EISSA and COSAPI doing work near the impacted area; who were evacuated to the medical center for their care, then returned to their usual work."
industrial_safety_000275,0.9915053048199794,P1,HIGH_SCORE_MODEL_CONFLICT,stored_projectile | vehicle,,,UNKNOWN,WEAK,"During the activity of chuteo of ore in hopper OP5; the operator of the locomotive parks his equipment under the hopper to fill the first car, it is at this moment that when it was blowing out to release the load, a mud flow suddenly appears with the presence of rock fragments; the personnel that was in the direction of the flow was covered with mud."
industrial_safety_000422,0.9912647232590426,P1,HIGH_SCORE_MODEL_CONFLICT,fire_explosion | pressure | stored_projectile | vehicle,line_of_fire,,CONTEXT_LIMITED,PARTIAL,"The convoy of the locomotive 15 operated by Mr. Tito is located in hopper OP2 positioning the 1st car under the hopper, the assistant does not observe anything out of the ordinary (dry load there is no presence of water) and initiates the chute, for this, the hydraulic module of the hopper is switched on and with the controls it slightly moves the hopper handle and an untimely flow of water and mud splashes the operator generating the described injury, in addition the collaborator was 7 meters from the line of fire"
industrial_safety_000286,0.9892805138535594,P1,HIGH_SCORE_MODEL_CONFLICT,fall_height | pressure,,,UNKNOWN,WEAK,"On December 13, the accessories coupling (gun - hose) of the high pressure pump (BAP) was made to clean the demister of the cooling tower G2172. carrying out the complete coupling, they turn on the BAP to start with the start test, at that moment the hose comes off the gun and hits Mr. Emerson who was holding the gun."
industrial_safety_000239,0.9885416695116273,P1,HIGH_SCORE_MODEL_CONFLICT,,,,UNKNOWN,NONE,"Being 05:30 am. Approximately Marco and Isidro TORRES they were performing the pipe standardization of the CX 771 / CX-983 Nv. 1940; in moments that Marco lifts the air pipe over the spike, this seat and the pipe impacts on the worker's safety guard."
industrial_safety_000310,0.9811676590717644,P1,HIGH_SCORE_MODEL_CONFLICT,,,,UNKNOWN,NONE,"During the activity of settling of concrete blocks for the ventilation plug wall in the CX-943 of level 3590, in circumstances that the worker made the setting of the union between concrete blocks, a polyethylene pipe of 2 ""diameter was picks up the spike and when it hits it hits the top of the worker's protector."
industrial_safety_000339,0.9803269125596636,P1,HIGH_SCORE_MODEL_CONFLICT,vehicle,,,UNKNOWN,WEAK,"While preparing to mount polypropylene tubing, the employee pulled the pickup from the truck and positioned it in place, pressing the finger between the tube and the concrete wall."
industrial_safety_000101,0.9790325391620076,P1,HIGH_SCORE_MODEL_CONFLICT,pressure,,,UNKNOWN,WEAK,"During the cleaning of the 16 ""vertical pipe using the hydrojet equipment (high pressure hose), the hose returned due to obstruction of the pipe with residue, reaching the operator who was actuating the equipment pedal ."
