report_id,source,report_type,timestamp,site,location,department,activity,asset,description,unsafe_act,unsafe_condition,near_miss,hi_po,hazards,exposure,potential_consequences,barriers,barrier_status,life_saving_rules,actual_outcome,potential_accident_level,sif_potential,annotation_confidence,annotation_version,source_gender,source_actor_type,normalized_description,duplicate_group_id,duplicate_group_size,is_duplicate,potential_level_numeric,potential_numeric,actual_numeric,description_length,risk,selection_band,annotation_status,sif_reason,evidence_text,hazard_notes,consequence_notes,barrier_notes,annotator_confidence
industrial_safety_000013,industrial_safety_analytics_database,incident,2016-02-02T00:00:00,Country_01,Local_01,Mining,,,"In moments that the operator of the Jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of Nv 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",,,,,['Electrical installation'],[],[],[],[],[],IV,V,,,v0.1,Male,Third Party,in moments that the operator of the jumbo 2 tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of nv 3300 remove the lock and opening the electric board of 440v and 400a and when lifting the thermomagnetic key this makes phase to ground  phase contact with the panel shell  producing a flash which reaches the operator causing the injury described,DUP_0224,1,False,5,5,4,398,['Electrical installation'],high,pending,,,,,,
industrial_safety_000166,industrial_safety_analytics_database,incident,2016-06-17T00:00:00,Country_02,Local_08,Metals,,,"At approximately 5:45 pm, the operator Paulo (operator of the filters) informed the autoclave operator via radio of a leak on the side of the scruber. The autoclave III feed was stopped by the control and officials Georli and Renato initiated the procedures for closing the autoclave transfer valve for flash TQs. Soon after, there was a break in the chicken, projecting pulp hot and reaching three employees who were inside the room near the equipment.",,,,,['Not applicable'],[],[],[],[],[],IV,V,,,v0.1,Male,Employee,at approximately 545 pm the operator paulo operator of the filters informed the autoclave operator via radio of a leak on the side of the scruber the autoclave iii feed was stopped by the control and officials georli and renato initiated the procedures for closing the autoclave transfer valve for flash tqs soon after there was a break in the chicken projecting pulp hot and reaching three employees who were inside the room near the equipment,DUP_0037,1,False,5,5,4,453,['Not applicable'],high,pending,,,,,,
industrial_safety_000321,industrial_safety_analytics_database,incident,2017-01-25T00:00:00,Country_01,Local_03,Mining,,,"During the process of loading drills in the Carmen pit of level 3450, the operator positions the basket of the anfo loader 186 equipment at a height of 3m from the floor to carry out the loading of the production drills; At this moment, a stone slab of 1.4x0.7x0.2 m is detached from the front of the pit, which is tilted and lodged inside the basket, trapping the right leg of the collaborator.",,,,,['remains of choco'],[],[],[],[],[],V,VI,,,v0.1,Male,Third Party,during the process of loading drills in the carmen pit of level 3450 the operator positions the basket of the anfo loader 186 equipment at a height of 3m from the floor to carry out the loading of the production drills at this moment a stone slab of 14x07x02 m is detached from the front of the pit which is tilted and lodged inside the basket trapping the right leg of the collaborator,DUP_0150,1,False,6,6,5,395,['remains of choco'],high,pending,,,,,,
industrial_safety_000337,industrial_safety_analytics_database,incident,2017-02-09T00:00:00,Country_01,Local_03,Mining,,,"the Spillway circumstances where the worker was cleaning, with the use of an absorbent cloth, oil residues from the right edge of the Atlas AXS-186 compressor, with the bonnet open and in functioning; the rag falls inside the ompressor and in the attempt to remove it, it is hooked on the fan's propeller, pulling the worker's left hand toward the propeller causing the injury.",,,,,['Power lock'],[],[],[],[],[],IV,V,,,v0.1,Male,Third Party (Remote),the spillway circumstances where the worker was cleaning with the use of an absorbent cloth oil residues from the right edge of the atlas axs186 compressor with the bonnet open and in functioning the rag falls inside the ompressor and in the attempt to remove it it is hooked on the fans propeller pulling the workers left hand toward the propeller causing the injury,DUP_0351,1,False,5,5,4,377,['Power lock'],high,pending,,,,,,
industrial_safety_000342,industrial_safety_analytics_database,incident,2017-02-14T00:00:00,Country_01,Local_03,Mining,,,"In the Nv. 3370, CX 212 - South, when the Mechanic loosens a through bolt of the intermediate cardan protector of the Dumper 01, the protector is released and imprisons the first finger of the left hand against the connector of the hydraulic steering cylinder (Position 2) .",,,,,['Pressed'],[],[],[],[],[],IV,V,,,v0.1,Male,Third Party,in the nv 3370 cx 212  south when the mechanic loosens a through bolt of the intermediate cardan protector of the dumper 01 the protector is released and imprisons the first finger of the left hand against the connector of the hydraulic steering cylinder position 2,DUP_0243,1,False,5,5,4,274,['Pressed'],high,pending,,,,,,
industrial_safety_000371,industrial_safety_analytics_database,incident,2017-03-18T00:00:00,Country_01,Local_03,Mining,,,"During the activity of changing conveyor belt 11B feeding the primary mill No. 2; the mechanic entered the discharge chute (0.75 x 0.75 x 0.80 m.) to clean the material, at which time the automatic sampler (0.30 x 0.25 m) that was inside the chute was activated, trapping the mechanic at the height of the chest. At the time of the accident the mechanic was alone in the work area.",,,,,['Power lock'],[],[],[],[],[],V,V,,,v0.1,Male,Third Party (Remote),during the activity of changing conveyor belt 11b feeding the primary mill no 2 the mechanic entered the discharge chute 075 x 075 x 080 m to clean the material at which time the automatic sampler 030 x 025 m that was inside the chute was activated trapping the mechanic at the height of the chest at the time of the accident the mechanic was alone in the work area,DUP_0117,1,False,5,5,5,381,['Power lock'],high,pending,,,,,,
industrial_safety_000372,industrial_safety_analytics_database,incident,2017-03-22T00:00:00,Country_01,Local_06,Metals,,,"Being approximately 20:57 hours of 03/22/2017; during the change of cables between the Z-332 power cell (locked cabinet) and the Z014 transformer; there is a loud noise followed by an oscillation of the electrical system. At that moment the collaborator Queneche of the company EISSA is found on the floor with his head inside an adjoining cell Z-132 (cabinet Not blocked - where he was not assigned to do any work), after having received an electric shock .",,,,,['Power lock'],[],[],[],[],[],V,V,,,v0.1,Male,Third Party (Remote),being approximately 2057 hours of 03222017 during the change of cables between the z332 power cell locked cabinet and the z014 transformer there is a loud noise followed by an oscillation of the electrical system at that moment the collaborator queneche of the company eissa is found on the floor with his head inside an adjoining cell z132 cabinet not blocked  where he was not assigned to do any work after having received an electric shock,DUP_0095,1,False,5,5,5,458,['Power lock'],high,pending,,,,,,
industrial_safety_000393,industrial_safety_analytics_database,incident,2017-04-25T00:00:00,Country_02,Local_07,Mining,,,"ACTIVITY: front sanitation (slaughter of choco with scaller) LOCAL: underground mine, level 350 - front 45 Upper JKA The operator performed front sanitation when a rock block from the roof hit the equipment. The accident victim was promptly rescued by the unit's emergency brigade and transported to the outpatient clinic where he received the first care, and was then transferred to the Municipal of Paracatu.",,,,,['remains of choco'],[],[],[],[],[],IV,V,,,v0.1,Male,Employee,activity front sanitation slaughter of choco with scaller local underground mine level 350  front 45 upper jka the operator performed front sanitation when a rock block from the roof hit the equipment the accident victim was promptly rescued by the units emergency brigade and transported to the outpatient clinic where he received the first care and was then transferred to the municipal of paracatu,DUP_0001,1,False,5,5,4,410,['remains of choco'],high,pending,,,,,,
industrial_safety_000401,industrial_safety_analytics_database,incident,2017-05-06T00:00:00,Country_02,Local_07,Mining,,,"The employees Márcio and Sérgio performed the pump pipe clearing activity FZ1.031.4 and during the removal of the suction spool flange bolts, there was projection of pulp over them causing injuries.",,,,,['Projection'],[],[],[],[],[],IV,V,,,v0.1,Male,Employee,the employees márcio and sérgio performed the pump pipe clearing activity fz10314 and during the removal of the suction spool flange bolts there was projection of pulp over them causing injuries,DUP_0327,2,True,5,5,4,198,['Projection'],high,pending,,,,,,
industrial_safety_000403,industrial_safety_analytics_database,incident,2017-05-10T00:00:00,Country_01,Local_04,Mining,,,"When performing shotcrete casting for resane on Cruise 791 Nv. 1940 at 02:50 p.m. approximately, the operator was placed on the left side of the equipment and started the release of 02 cubic meters, at that time decided to paralyze the task for a few minutes due to a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock (setting). When restarting the shotcrete launch the operator that was on the left side moved to the right side of the equipment, while the assistant and the operator mixkret to see that there was no pumping went to verify what happened and when they returned they realized that the operator was not, so they assume that he had fallen down the chimney, they left the job to ask for help immediately. The emergency response brigade and the medical service are activated, who verify the death of the collaborator. The accident investigation begins.",,,,,['Fall'],[],[],[],[],[],V,V,,,v0.1,Male,Third Party,when performing shotcrete casting for resane on cruise 791 nv 1940 at 0250 pm approximately the operator was placed on the left side of the equipment and started the release of 02 cubic meters at that time decided to paralyze the task for a few minutes due to a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock setting when restarting the shotcrete launch the operator that was on the left side moved to the right side of the equipment while the assistant and the operator mixkret to see that there was no pumping went to verify what happened and when they returned they realized that the operator was not so they assume that he had fallen down the chimney they left the job to ask for help immediately the emergency response brigade and the medical service are activated who verify the death of the collaborator the accident investigation begins,DUP_0389,1,False,5,5,5,904,['Fall'],high,pending,,,,,,
