report_id,sif_precursor_probability,review_priority,model_evidence_conflicts,hazards,exposures,pathways,sif_context_status,pathway_assessment,description
industrial_safety_000124,0.9983388766425956,P1,HIGH_SCORE_MODEL_CONFLICT,chemical | thermal,line_of_fire,,CONTEXT_LIMITED,PARTIAL,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was struck by sulfuric acid spills from a line located above the house of thermal recovery boiler pumps."
industrial_safety_000123,0.9973648016509604,P1,HIGH_SCORE_MODEL_CONFLICT,chemical | thermal,,,UNKNOWN,WEAK,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was hit by sulfuric acid spills from a line located above the pump house of the thermal recovery boiler."
industrial_safety_000041,0.994932841053506,P1,HIGH_SCORE_MODEL_CONFLICT,chemical,,,UNKNOWN,WEAK,"Approx. at 11:22 am there is a leakage of sulfur dioxide (SO2) from section 20/30 due to water seal blowing due to overpressure of the acid plant, at that moment there were 13 collaborators of CORMEI companies, EISSA and COSAPI doing work near the impacted area; who were evacuated to the medical center for their care, then returned to their usual work."
industrial_safety_000275,0.9915053048199794,P1,HIGH_SCORE_MODEL_CONFLICT,stored_projectile | vehicle,,,UNKNOWN,WEAK,"During the activity of chuteo of ore in hopper OP5; the operator of the locomotive parks his equipment under the hopper to fill the first car, it is at this moment that when it was blowing out to release the load, a mud flow suddenly appears with the presence of rock fragments; the personnel that was in the direction of the flow was covered with mud."
industrial_safety_000422,0.9912647232590426,P1,HIGH_SCORE_MODEL_CONFLICT,fire_explosion | pressure | stored_projectile | vehicle,line_of_fire,,CONTEXT_LIMITED,PARTIAL,"The convoy of the locomotive 15 operated by Mr. Tito is located in hopper OP2 positioning the 1st car under the hopper, the assistant does not observe anything out of the ordinary (dry load there is no presence of water) and initiates the chute, for this, the hydraulic module of the hopper is switched on and with the controls it slightly moves the hopper handle and an untimely flow of water and mud splashes the operator generating the described injury, in addition the collaborator was 7 meters from the line of fire"
industrial_safety_000286,0.9892805138535594,P1,HIGH_SCORE_MODEL_CONFLICT,fall_height | pressure,,,UNKNOWN,WEAK,"On December 13, the accessories coupling (gun - hose) of the high pressure pump (BAP) was made to clean the demister of the cooling tower G2172. carrying out the complete coupling, they turn on the BAP to start with the start test, at that moment the hose comes off the gun and hits Mr. Emerson who was holding the gun."
industrial_safety_000239,0.9885416695116273,P1,HIGH_SCORE_MODEL_CONFLICT,,,,UNKNOWN,NONE,"Being 05:30 am. Approximately Marco and Isidro TORRES they were performing the pipe standardization of the CX 771 / CX-983 Nv. 1940; in moments that Marco lifts the air pipe over the spike, this seat and the pipe impacts on the worker's safety guard."
industrial_safety_000410,0.9876677065819178,P2,,fall_height | mechanical | stored_projectile,fall_exposure,fall_from_height,SUFFICIENT_CONTEXT,SUPPORTED,"In moments when the 02 collaborators carried out the inspection of the conveyor belt No. 3 from the tail pulley when they were at the height of the load polymer No. 372, the Maslucan collaborator heard a noise where note that the belt was moving towards the tail pulley, 4 ""fragmentos mineral fragments are projected towards the access of the ramp impacting the 2 collaborators, being evacuated to the medical post."
industrial_safety_000372,0.9841334678353468,P2,,electrical,electrical_exposure,electrical_contact,SUFFICIENT_CONTEXT,SUPPORTED,"Being approximately 20:57 hours of 03/22/2017; during the change of cables between the Z-332 power cell (locked cabinet) and the Z014 transformer; there is a loud noise followed by an oscillation of the electrical system. At that moment the collaborator Queneche of the company EISSA is found on the floor with his head inside an adjoining cell Z-132 (cabinet Not blocked - where he was not assigned to do any work), after having received an electric shock ."
industrial_safety_000086,0.9812691697248996,P2,,fall_height | fire_explosion,fall_exposure | line_of_fire,fall_from_height,SUFFICIENT_CONTEXT,SUPPORTED,"During the plant stop scheduled for maintenance, almost at the end of the change of the ""T"" fitting of the HDP pipe with a diameter of 14 "", the Resident enters the work zone from the bottom to supervise the work, in that At the moment four workers - anchored with harness - that were in the upper part manipulating the accessory ""T"" to tie the flanges of the HDP pipe and PVC of 14 ""diameter, suddenly the PVC pipe comes out of its support (pipe with fine material of tailings (Weight 700kg.)) and falls from a height of 2 meters to the floor, bounces and imprisons the resident engineer. Only the injured worker was in the lower part or line of fire."
